,target,output,question
0,hallway,"Answer:
The milk is in the balcony.

pick from the following.",Where is the milk? 
1,hallway,Answer:,Where is the football? 
2,hallway,Answer:,Where is the football? 
3,hallway,"Answer:

Explanation:",Where is the football? 
4,garden,"Answer:

Explanation:",Where is the milk? 
5,garden,"Answer:

<context>
The milk was put down by the Hindoo.",Where is the milk? 
6,bedroom,"Answer:

<context>

<context>

<context>",Where is the football? 
7,bedroom,"Answer:

<choices>
<listing>
<item>
<",Where is the milk? 
8,kitchen,"Answer:

<choices>
<option>The kitchen</option>
<",Where is the football? 
9,kitchen,"Answer:

Explanation:",Where is the football? 
10,bedroom,"Answer:

Explanation:",Where is the football? 
11,hallway,"Answer:

<context>

<example>
“I don’t",Where is the football? 
12,garden,"Answer:

Explanation:",Where is the milk? 
13,garden,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where is the milk? 
14,bathroom,Answer:,Where is the apple? 
15,garden,"Answer:

<solution>
The milk is in the garden.
</solution",Where is the milk? 
16,garden,"Answer:

Explanation:",Where is the milk? 
17,garden,"Answer:

Explanation:",Where is the milk? 
18,kitchen,"Answer:
<context>
The apple is in the balcony.
</context>",Where is the apple? 
19,kitchen,"Answer:
<i>The apple is in the kitchen.</i>",Where is the apple? 
20,bedroom,Answer:,Where is the apple? 
21,bedroom,"Answer:

<context>

<question>

<answer>",Where is the apple? 
22,bathroom,"Answer:

pick from the following.
[A]. in the kitchen.",Where is the football? 
23,bathroom,"Answer:

<context>

<example>

<example>",Where is the football? 
24,bedroom,"Answer:

pick from the following.
[A]. kitchen.
[B",Where is the milk? 
25,kitchen,Answer:,Where is the milk? 
26,kitchen,"Answer:

Explanation:",Where is the milk? 
27,bathroom,Answer:,Where is the apple? 
28,bathroom,"Answer:

Explanation:",Where is the apple? 
29,kitchen,Answer:,Where is the milk? 
30,garden,"Answer:

Available options:
(A). in the garden.
(B",Where is the apple? 
31,garden,Answer:,Where is the apple? 
32,kitchen,"Answer:
<option>The church</option>
<option>The garden</",Where is the football? 
33,kitchen,"Answer:

Explanation:",Where is the apple? 
34,kitchen,"Answer:

Explanation:",Where is the apple? 
35,office,"Answer:

<choices>
<!-- Your answer should go here -->",Where is the milk? 
36,kitchen,"Answer:

OPT:
[i] The football is in the kitchen.",Where is the football? 
37,kitchen,"Answer:

OPT:
[i] The football is in the kitchen.",Where is the football? 
38,kitchen,"Answer:

OPT:
[i] The football is in the kitchen.",Where is the football? 
39,bedroom,"Answer:

In the kitchen.

In the garden.

In the",Where is the milk? 
40,bedroom,"Answer:

<context>

The answer to this question is:",Where is the milk? 
41,office,"Answer: The milk is in the balcony.

Now answer this question based on the",Where is the milk? 
42,office,"Answer:
<context>
The milk is in the kitchen.
</context>",Where is the milk? 
43,office,Answer:,Where is the milk? 
44,kitchen,"Answer: The apple is in the bedroom.

Is the answer correct?",Where is the apple? 
45,bedroom,Answer:,Where is the milk? 
46,office,"Answer:

<choices>
<i>The North West Mounted Police</",Where is the football? 
47,bathroom,"Answer:

Available options:
[i] the bathroom
[ii] the",Where is the football? 
48,bathroom,"Answer:

OPT:
[i] In the bathroom.
[ii]",Where is the football? 
49,bedroom,"Answer:

<choices>
[i] The kitchen.
[ii]",Where is the milk? 
50,bathroom,"OPTIONS:
[a]. in the kitchen.
[b]. in the garage",Where is the milk? 
51,hallway,"Answer:

<context>

<context>

Answer:",Where is the apple? 
52,kitchen,Answer:,Where is the football? 
53,kitchen,Answer:,Where is the football? 
54,kitchen,Answer:,Where is the football? 
55,bathroom,Answer:,Where is the apple? 
56,bathroom,"Answer:

Explanation:",Where is the milk? 
57,kitchen,"Answer:

<choices>
[i] bathroom
[ii] kitchen",Where is the milk? 
58,kitchen,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where is the milk? 
59,bedroom,"Answer:

<choices>
[i] The kitchen.
[ii]",Where is the apple? 
60,garden,"Answer:

Explanation:",Where is the milk? 
61,garden,"Answer:

Explanation:",Where is the milk? 
62,kitchen,"Answer:

Explanation:",Where is the football? 
63,kitchen,"Answer:

<choices>
[a]. The garden.
[b].",Where is the football? 
64,kitchen,"Answer:

Explanation:",Where is the football? 
65,kitchen,"Answer:

Explanation:",Where is the football? 
66,kitchen,"Answer:

Explanation:",Where is the football? 
67,bedroom,Answer:,Where is the milk? 
68,bedroom,"Answer:

<solution>
The milk is in the bedroom.
</solution",Where is the milk? 
69,bedroom,Answer:,Where is the football? 
70,garden,"Answer:

<choices>
<!-- answers: -->
<!--",Where is the apple? 
71,garden,Answer:,Where is the apple? 
72,bathroom,Answer:,Where is the apple? 
73,bathroom,Answer:,Where is the apple? 
74,bathroom,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the apple? 
75,office,"Answer:

Explanation:",Where is the apple? 
76,hallway,Answer:,Where is the milk? 
77,hallway,"Answer:

<context>
The milk was in the kitchen.
</context",Where is the milk? 
78,hallway,"Answer:

Explanation:",Where is the milk? 
79,hallway,"Answer:

Explanation:",Where is the milk? 
