,target,output,question
0,office,Answer: Before the bathroom the apple was in the bathroom.,Where was the apple before the bathroom? 
1,office,Answer: before the hallway,Where was the apple before the hallway? 
2,office,,Where was the apple before the hallway? 
3,bathroom,,Where was the football before the garden? 
4,bathroom,"Answer: Before the garden the football was in the bathroom.

<context>
The",Where was the football before the garden? 
5,garden,"<answer>
<context>
John went back to the kitchen. Daniel picked up",Where was the apple before the bathroom? 
6,kitchen,"Answer: before the office

<context>
The following is a dialogue between two persons",Where was the milk before the office? 
7,kitchen,,Where was the apple before the office? 
8,kitchen,Answer: Before the office the apple was in the garden.,Where was the apple before the office? 
9,garden,,Where was the apple before the bedroom? 
10,garden,Answer: Before the bedroom the apple was in the bathroom.,Where was the apple before the bedroom? 
11,garden,"Answer: The bathroom

<context>
<question>
In the following play,",Where was the milk before the bathroom? 
12,garden,"Answer: Before the bathroom the milk was in the bathroom.

<context>
S",Where was the milk before the bathroom? 
13,garden,Answer:,Where was the milk before the bathroom? 
14,kitchen,,Where was the football before the garden? 
15,kitchen,Answer:,Where was the football before the garden? 
16,garden,,Where was the milk before the bedroom? 
17,garden,"Answer: Before the bedroom the milk was in the bathroom.

<context>
John",Where was the milk before the bedroom? 
18,bedroom,Answer: Before the bathroom the football was in the bathroom.,Where was the football before the bathroom? 
19,garden,"Answer: before the hallway

Your code should pass the following assertions:
```",Where was the football before the hallway? 
20,garden,"Answer: before the office

<context>
John went to the garden. John went",Where was the football before the office? 
21,hallway,"Answer: before the garden

Your code should pass the following assertions:
```python",Where was the football before the garden? 
22,office,,Where was the milk before the kitchen? 
23,kitchen,,Where was the milk before the bedroom? 
24,bathroom,Answer:,Where was the football before the bedroom? 
25,office,"Answer: Before the bedroom the football was in the garden.

<context>
John",Where was the football before the bedroom? 
26,garden,"Answer: Before the office the football was in the bathroom.

<context>
John",Where was the football before the office? 
27,garden,"<answer>
The answer is: Before the office the football was in the garden.",Where was the football before the office? 
28,garden,,Where was the apple before the office? 
29,bathroom,Answer:,Where was the apple before the hallway? 
30,office,"Answer: Before the kitchen the apple was in the bathroom.

<context>
The",Where was the apple before the kitchen? 
31,office,"Answer: bathroom

Your code should pass the following assertions:
```python
assert",Where was the apple before the kitchen? 
32,hallway,Answer:,Where was the milk before the bedroom? 
33,bedroom,Answer: Before the garden the milk was in the bathroom.,Where was the milk before the garden? 
34,hallway,Answer: Before the bathroom the apple was in the bathroom.,Where was the apple before the bathroom? 
35,hallway,Answer: Before the kitchen the football was in the bathroom.,Where was the football before the kitchen? 
36,garden,"Answer: Before the hallway the football was in the bathroom.

**Please answer",Where was the football before the hallway? 
37,garden,"<answer>
<context>
Sandra journeyed to the bathroom. Sandra travelled",Where was the football before the hallway? 
38,garden,Answer: Before the hallway the milk was in the bathroom.,Where was the milk before the hallway? 
39,hallway,,Where was the milk before the bathroom? 
40,bedroom,"Answer: Before the bathroom the apple was in the bathroom.

**Please answer this",Where was the apple before the bathroom? 
41,bedroom,Answer: Before the bathroom the apple was in the bathroom.,Where was the apple before the bathroom? 
42,bedroom,"Answer: Before the bathroom the apple was in the bathroom.

**Please answer this question",Where was the apple before the bathroom? 
