,target,output,question
0,football,,What did Fred give to Jeff? 
1,Fred,Answer:,Who gave the football to Jeff? 
2,football,,What did Fred give to Jeff? 
3,Jeff,"Answer: Jeff

Your answer:",Who did Fred give the football to? 
4,Fred,,Who did Jeff give the football to? 
5,Jeff,"Answer: <i>Fred</i>

Answer: <i>Mary</",Who gave the apple? 
6,Bill,"Answer: Mary

Answer: Mary

Answer: Mary

Answer: Mary",Who received the apple? 
7,apple,,What did Bill give to Fred? 
8,apple,,What did Bill give to Fred? 
9,Fred,"Answer: Fred

Answer: Mary

Answer: Fred

Answer: Mary",Who received the apple? 
10,Mary,"Answer:
<response>
Mary
</response>

What is the answer",Who received the milk? 
11,milk,,What did Mary give to Bill? 
12,Bill,"Answer: Mary

Your answer:",Who received the milk? 
13,Bill,Answer:,Who did Mary give the milk to? 
14,milk,"Answer: apple

What is the context?",What did Mary give to Bill? 
15,Jeff,"Answer: Jerry

Is the following statement correct based on the context?

""",Who received the football? 
16,Fred,,Who gave the football to Jeff? 
17,football,"Answer: ""The very essence and spirit of the Rocket System is the facility of firing a",What did Fred give to Jeff? 
18,Jeff,"Answer: Fred

Is the answer ""Fred""?

Your answer:",Who received the football? 
19,Mary,Answer:,Who gave the milk? 
20,milk,,What did Jeff give to Mary? 
21,Mary,,Who gave the milk to Jeff? 
22,Mary,,Who gave the milk to Jeff? 
23,Bill,,Who gave the apple to Jeff? 
24,Jeff,,Who gave the apple? 
25,apple,,What did Jeff give to Fred? 
26,Fred,"Answer: Fred

Your answer:
Your answer:
Your answer:",Who received the apple? 
27,Jeff,"Answer: Fred

Answer: Fred

Answer: Fred

Answer: Fred",Who received the apple? 
28,Jeff,"Answer: Jeff

Is the answer ""Jeff"" correct?

Options:",Who gave the apple? 
29,Fred,,Who did Jeff give the apple to? 
30,Mary,,Who gave the milk? 
31,Bill,,Who gave the milk? 
32,Bill,,Who gave the milk to Mary? 
33,milk,,What did Bill give to Mary? 
34,apple,,What did Mary give to Fred? 
35,Jeff,,Who did Fred give the milk to? 
36,Jeff,,Who did Fred give the milk to? 
37,milk,,What did Jeff give to Mary? 
38,milk,,What did Jeff give to Mary? 
39,Fred,,Who gave the apple? 
40,Mary,"Answer: Fred

Answer: Fred

Answer: Mary

Answer: Jeff",Who gave the milk? 
41,milk,,What did Mary give to Fred? 
42,Jeff,,Who gave the milk? 
43,Fred,,Who received the milk? 
44,Mary,,Who gave the milk? 
45,Bill,"Answer: Frances

Answer: Mary

Answer: Frances

Answer: Mary",Who did Mary give the milk to? 
46,milk,,What did Mary give to Bill? 
47,Mary,"Answer: Mary

Answer: The answer is: Mary

Is the answer: Mary",Who gave the milk? 
48,Mary,,Who did Bill give the milk to? 
49,Bill,,Who gave the milk to Mary? 
50,Mary,Answer:,Who gave the apple to Fred? 
51,Fred,,Who gave the apple to Mary? 
52,apple,,What did Fred give to Mary? 
53,apple,,What did Mary give to Jeff? 
54,apple,,What did Mary give to Jeff? 
55,Fred,,Who received the football? 
56,football,,What did Bill give to Fred? 
57,Bill,,Who gave the apple? 
58,Bill,Answer:,Who did Mary give the apple to? 
59,Jeff,,Who did Bill give the apple to? 
60,Jeff,,Who did Bill give the apple to? 
61,Bill,,Who gave the apple to Jeff? 
62,Jeff,"Answer: Fred

Answer: Jeff

Answer: Mary

Answer: Peter",Who gave the apple to Bill? 
63,Bill,Answer:,Who received the apple? 
64,Mary,,Who gave the milk? 
65,Mary,,Who gave the apple to Bill? 
66,Bill,"Answer: ""Mary passed the apple to Bill.""

Now, who did Mary give",Who did Mary give the apple to? 
67,Mary,Answer:,Who did Bill give the apple to? 
68,apple,,What did Bill give to Mary? 
69,Mary,,Who did Bill give the apple to? 
70,apple,,What did Fred give to Jeff? 
71,Jeff,"Answer: Jeff

Answer: Mary

Answer: Jeff

Answer: Mary",Who gave the football? 
72,Jeff,"Answer: Jeff

Answer: Fred

Answer: Jeff

Answer: Mary",Who gave the football? 
73,apple,"Answer: apple

Answer: apple

Answer: apple

Answer: apple",What did Fred give to Bill? 
74,apple,,What did Fred give to Bill? 
75,Fred,,Who gave the football? 
76,Fred,,Who gave the football? 
77,Mary,"Answer: Fred

<context>
[Illustration: (factory chimneys along empty",Who received the football? 
78,Mary,"Answer: Fred

Answer: Mary

Answer: Jeff

Answer: Fred",Who gave the football? 
79,football,,What did Mary give to Fred? 
80,milk,,What did Fred give to Jeff? 
81,milk,,What did Fred give to Jeff? 
82,Fred,"Answer: Mary

Your answer:",Who did Jeff give the milk to? 
83,milk,"Answer: football

Your answer:",What did Jeff give to Fred? 
84,Jeff,,Who gave the milk to Fred? 
85,Fred,,Who did Mary give the apple to? 
86,Fred,"Answer: Fred

[i199] _A fine picture, half length",Who gave the apple to Mary? 
87,Mary,,Who gave the apple? 
88,Jeff,"Answer: Mary

Is the answer ""Mary"" correct?

OPT:",Who did Mary give the apple to? 
89,Jeff,"Answer: Ruby

Your answer:",Who received the football? 
90,football,,What did Mary give to Jeff? 
91,Mary,"Answer: Jeff

Answer: Mary

Is the answer ""Mary"" correct?",Who received the football? 
92,Mary,,Who gave the football? 
93,Jeff,,Who did Mary give the football to? 
94,Bill,,Who did Fred give the apple to? 
95,Jeff,"Answer: Jeff

Answer: Mary

Is the answer to the above question is",Who did Mary give the apple to? 
96,Mary,,Who gave the apple to Jeff? 
