,target,output,question
0,hallway,"Answer:

<context>

<example>
John went to the hall",Where is John? 
1,bathroom,Answer:,Where is Mary? 
2,kitchen,"Answer:

<context>

<context>

<context>",Where is Sandra? 
3,hallway,"Answer:

OPTIONS:
- in the hallway
- in the kitchen",Where is Sandra? 
4,kitchen,"Answer:

<context>
<context.section>
<context.paragraph",Where is Sandra? 
5,hallway,Answer:,Where is Sandra? 
6,garden,"Answer:
<context>
<context>
<context>
<context>",Where is Sandra? 
7,hallway,"Answer:

Available options:
(1). in the hallway.
(",Where is Daniel? 
8,office,"Answer:

Available options:
[1]. Port William;
[2].",Where is Sandra? 
9,office,"Answer:

<context>

<question>

<answer>",Where is Daniel? 
10,kitchen,"Answer:

<context>

<context>

<context>",Where is Mary? 
11,garden,Answer:,Where is Mary? 
12,office,"Answer:

<context>

Answer:

pick from the following.",Where is Daniel? 
13,bedroom,"Answer:

In the garden.

Is the answer ""yes"" or """,Where is Mary? 
14,bedroom,Answer:,Where is Mary? 
15,kitchen,"Answer:
<context>
<context.section>
    <context.paragraph>",Where is John? 
16,garden,"Answer:

<a href=""https://en.wikipedia.org/wiki/",Where is John? 
17,kitchen,Answer:,Where is John? 
18,office,Answer:,Where is Daniel? 
19,kitchen,"Answer:

<context>

<context>

<context>",Where is John? 
20,hallway,"Answer:

OPT:
[i] Station.
[ii] The Golden",Where is Mary? 
21,office,"Answer:

OPTIONS:
- Glengarry
- Greenock
-",Where is John? 
22,office,"Answer:

Available options:
[i] John is in the garden.",Where is John? 
23,hallway,"Answer:

Available options:
[i] The house.
[ii]",Where is Sandra? 
24,bedroom,"Answer:

Choose from the following.
(A). in the kitchen.",Where is Daniel? 
25,bedroom,"Answer:

<context>

<context>

<context>",Where is Sandra? 
26,bedroom,"Answer:

OPT:
[1]. Glengarry
[2]. Mary",Where is Mary? 
27,kitchen,"Answer:

OPTIONS:
[A]. in the kitchen.
[B",Where is Daniel? 
28,kitchen,Answer:,Where is Daniel? 
29,kitchen,"Answer:

OPTIONS:
[1]. The kitchen.
[2].",Where is Daniel? 
30,hallway,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is Sandra? 
31,office,"OPTIONS:
- in the Minster house
- in the Minster house",Where is John? 
32,kitchen,"Answer:

Available options:
[1]. The kitchen.
[2].",Where is Sandra? 
33,kitchen,"Answer:

<context>
<question>
<answer>
<context",Where is Sandra? 
34,bathroom,"OPTIONS:
[A]. London
[B]. America
[C]. Argentina",Where is Sandra? 
35,office,"OPTIONS:
[-] London
[-] Peterborough
[-] Tring",Where is Mary? 
36,bathroom,"OPTIONS:
[A]. in the garden.
[B]. in the house",Where is Mary? 
37,garden,"Answer:

OPT:
[i] The church.
[ii] The",Where is Mary? 
