,target,output,question
0,hallway,"Answer:
<context>
The milk is in the balcony.
</context>",Where is the milk? 
1,hallway,"Answer: In the hallway.

Question: What is the football?",Where is the football? 
2,hallway,"Answer:

<context>
<context>
<context>
<context",Where is the football? 
3,hallway,"Answer: The football was delivered by the Sinias.

Question: What is the",Where is the football? 
4,garden,"Answer: Mary went to the hallway.

Question: What is the name of",Where is the milk? 
5,garden,"Possible answers:
[A]. in the kitchen.
[B]. in the garden.",Where is the milk? 
6,bedroom,"Answer:

Available options:
(1). in the garden.
(2",Where is the football? 
7,bedroom,"Answer:

<context>

<context>

<context>",Where is the milk? 
8,kitchen,"Answer:

<context>

<context>

<context>",Where is the football? 
9,kitchen,"Answer:

<context>
<context>
<context>
<context",Where is the football? 
10,bedroom,"Answer: The football is in the kitchen.

Now, how did the author know",Where is the football? 
11,hallway,"Answer:

OPT:
[i] The office.
[ii] The",Where is the football? 
12,garden,Answer:,Where is the milk? 
13,garden,"Answer:

In the kitchen.

OPTIONS:
[A]. Yes",Where is the milk? 
14,bathroom,Answer:,Where is the apple? 
15,garden,"Answer: The best substitute for the mother is a wet-nurse.

pick",Where is the milk? 
16,garden,"Answer:

<context>

<context>

<context>",Where is the milk? 
17,garden,Answer:,Where is the milk? 
18,kitchen,"Answer:

<context>

<context>

<context>",Where is the apple? 
19,kitchen,"Answer:

<i>In the orchard.</i>

Question:",Where is the apple? 
20,bedroom,"Answer:

<context>

<context>

<context>",Where is the apple? 
21,bedroom,"Answer:

<context>

A) in the basket
B) in",Where is the apple? 
22,bathroom,"Answer:

<context>

<context>

<context>",Where is the football? 
23,bathroom,Answer:,Where is the football? 
24,bedroom,"Answer:

Available options:
[1]. The milk is in the kitchen.",Where is the milk? 
25,kitchen,"Answer:

Available options:
(A). Northumberland
(B). Ann",Where is the milk? 
26,kitchen,"Answer:

Available options:
[i] the kitchen
[ii] the",Where is the milk? 
27,bathroom,"Answer:

<context>

<context>

<context>",Where is the apple? 
28,bathroom,"Answer:

<context>

<context>

<context>",Where is the apple? 
29,kitchen,"Answer:

<context>

The context states that the milk is in the",Where is the milk? 
30,garden,"Answer:

<context>

<context>

<context>",Where is the apple? 
31,garden,"Answer:

<context>

The answer is:

A. B",Where is the apple? 
32,kitchen,"Answer:

A) in the hallway
B) in the hareem",Where is the football? 
33,kitchen,Answer:,Where is the apple? 
34,kitchen,"Answer:

<context>

<context>

<context>",Where is the apple? 
35,office,Answer:,Where is the milk? 
36,kitchen,"Answer:

<context>
<context>
<context>
<context",Where is the football? 
37,kitchen,Answer:,Where is the football? 
38,kitchen,"Answer:

<context>

<context>

<context>",Where is the football? 
