,target,output,question
0,office,"Answer:

<choices>
<!-- TODO: Add choices here -->",Where was the apple before the bathroom? 
1,office,"Answer:

Available options:
(A). Before the hallway.
(",Where was the apple before the hallway? 
2,office,"Answer:
<choices>
<i>The garden</i>,<i>",Where was the apple before the hallway? 
3,bathroom,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where was the football before the garden? 
4,bathroom,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where was the football before the garden? 
5,garden,Answer:,Where was the apple before the bathroom? 
6,kitchen,Answer:,Where was the milk before the office? 
7,kitchen,Answer:,Where was the apple before the office? 
8,kitchen,Answer:,Where was the apple before the office? 
9,bedroom,"Answer: Before the office the apple was in the bathroom.

<context>
<",Where was the apple before the office? 
10,garden,"Answer:

<choices>
<i>The kitchen</i>
<",Where was the apple before the bedroom? 
11,garden,"Answer:
<choices>
<i>The bathroom</i>,<i>",Where was the apple before the bedroom? 
12,garden,"Answer:

<choices>
[i] The bathroom.
[ii]",Where was the milk before the bathroom? 
13,garden,"Answer:

<choices> <!-- answer -->
<!-- answer -->",Where was the milk before the bathroom? 
14,garden,"Answer:

Explanation:",Where was the milk before the bathroom? 
15,kitchen,"Answer:
<choices>
<i>The bedroom</i>,<i>",Where was the football before the garden? 
16,kitchen,"Answer:

<a href=""https://en.wikipedia.org/wiki/",Where was the football before the garden? 
17,garden,"Answer: Before the bedroom the milk was in the bathroom.

<context>",Where was the milk before the bedroom? 
18,garden,"Answer:

<choices>
<listing>
<item>A</",Where was the milk before the bedroom? 
19,bedroom,"Answer:

<choices>
[1]. The bathroom.
[2].",Where was the football before the bathroom? 
20,garden,"Answer:

<choices>
<i>The football was in the bathroom.",Where was the football before the hallway? 
21,garden,Answer:,Where was the football before the office? 
22,hallway,"Answer:

<context>
[Illustration]

<context>",Where was the football before the garden? 
23,office,"Answer:

<context>
The milk was in the garden.
</context",Where was the milk before the kitchen? 
24,kitchen,"Answer:

<choices>
<listing>
<item>
<",Where was the milk before the bedroom? 
25,bathroom,Answer:,Where was the football before the bedroom? 
26,office,Answer:,Where was the football before the bedroom? 
27,garden,Answer:,Where was the football before the office? 
28,garden,"Answer:

<solution>

The answer is: Before the office",Where was the football before the office? 
29,garden,"Answer:

<choices>
<i>The office</i>
<",Where was the apple before the office? 
30,bathroom,"Answer:

<choices>
<listing>
<item>
<",Where was the apple before the hallway? 
31,office,Answer:,Where was the apple before the kitchen? 
32,office,"Answer:

<choices>
[a]. Before the kitchen.
[b",Where was the apple before the kitchen? 
33,hallway,"Answer:

OPT:
[i] The garden.
[ii] The",Where was the milk before the bedroom? 
34,bedroom,"Answer:

<choices>
[a]. The bedroom.
[b].",Where was the milk before the garden? 
35,hallway,"Answer:

<choices>
[i] Alcalde,
[ii",Where was the apple before the bathroom? 
36,hallway,"Answer:

Available options:
(A). Simiti
(B). The",Where was the football before the kitchen? 
37,bathroom,"Answer:

<choices>
<i>The garden</i>
<",Where was the apple before the kitchen? 
38,garden,"Answer:

<choices>
<a id=""choice1""></a>",Where was the apple before the bathroom? 
