,target,output,question
0,football,Answer:,What did Fred give to Jeff? 
1,Fred,Answer:,Who gave the football to Jeff? 
2,football,Answer:,What did Fred give to Jeff? 
3,Jeff,Answer:,Who did Fred give the football to? 
4,Fred,Answer:,Who did Jeff give the football to? 
5,Jeff,Answer:,Who gave the apple? 
6,Bill,Answer:,Who received the apple? 
7,apple,"Answer: ""the apple to Fred.""

Question: What did Mademoiselle",What did Bill give to Fred? 
8,apple,"Answer: ""The apple to Fred.""

Question: What did Eleanor's fifteenth year",What did Bill give to Fred? 
9,Fred,"Answer:

<context>

<context>

<context>",Who received the apple? 
10,Mary,"Answer:

pick from the following options. -- Fred

-- Robert Ferror",Who received the milk? 
11,milk,"Answer: The milk

Did the answer correctly answer the question?

Choose from",What did Mary give to Bill? 
12,Bill,"Answer:

[Question]

Answer:

[Question]",Who received the milk? 
13,Bill,Answer:,Who did Mary give the milk to? 
14,milk,"Answer: [A] milk

Question: What did Mary give to Bill?",What did Mary give to Bill? 
15,Jeff,Answer:,Who received the football? 
16,Fred,Answer:,Who gave the football to Jeff? 
17,football,Answer:,What did Fred give to Jeff? 
18,Jeff,Answer:,Who received the football? 
19,Mary,Answer:,Who gave the milk? 
20,milk,"Answer:

OPTIONS:
- milk
- football
- a ladder",What did Jeff give to Mary? 
21,Mary,"Answer:

<context>

<context>

<context>",Who gave the milk to Jeff? 
22,Mary,Answer:,Who gave the milk to Jeff? 
23,Bill,"Answer: Mary

Question: What was Jeff's name?

Answer: Bill",Who gave the apple to Jeff? 
24,Jeff,"Answer:

[Illustration: Fig. II., page 55, and",Who gave the apple? 
25,apple,Answer:,What did Jeff give to Fred? 
26,Fred,"Answer:

<context>

<context>

<context>",Who received the apple? 
27,Jeff,"Answer: _______________________________________________________________

Question: What is the name of the little girl",Who received the apple? 
28,Jeff,Answer:,Who gave the apple? 
29,Fred,"Answer: → Wayland

Question: What did Wayland think about the ranger",Who did Jeff give the apple to? 
30,Mary,Answer:  _Options: 1). Mary 2). Bill 3). Cliff,Who gave the milk? 
31,Bill,"Answer:
<context>

<context>

<context>",Who gave the milk? 
32,Bill,"Answer:

<context>
Fred picked up the apple there.
</context",Who gave the milk to Mary? 
