,target,output,question
0,hallway,Answer:,Where is John? 
1,bathroom,Answer:,Where is Mary? 
2,kitchen,Answer:,Where is Sandra? 
3,hallway,"Answer:

Explanation:",Where is Sandra? 
4,kitchen,"Answer:

Available options:
(A). The kitchen.
(B).",Where is Sandra? 
5,hallway,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where is Sandra? 
6,garden,"Answer:

Available options:
(A). in the kitchen.
(B",Where is Sandra? 
7,hallway,"Answer:

<choices>
<i>The office</i>
<",Where is Daniel? 
8,office,"Answer:

<context>
""The most recent location of Alan is shop.",Where is Sandra? 
9,office,Answer:,Where is Daniel? 
10,kitchen,"Answer:

<choices>
<i>Mary</i>
<i",Where is Mary? 
11,garden,"Answer:

<context>
Mary moved to the garden. The battle of Oak",Where is Mary? 
12,office,Answer:,Where is Daniel? 
13,bedroom,Answer:,Where is Mary? 
14,bedroom,Answer:,Where is Mary? 
15,kitchen,"Answer:

<choices>
<i>The hallway</i>,<",Where is John? 
16,garden,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where is John? 
17,kitchen,"Answer:

<choices>
<!-- TODO: Add choices here -->",Where is John? 
18,office,Answer:,Where is Daniel? 
19,kitchen,"Answer: The most recent location of John is balcony.

[Illustration]",Where is John? 
20,hallway,"Answer:

<choices>
<i>The lady places her left hand lightly",Where is Mary? 
21,office,"Answer:

<context>

The answer to this question is:",Where is John? 
22,office,"Answer:

<choices>
<i>Simiti</i>
<",Where is John? 
23,hallway,Answer:,Where is Sandra? 
24,bedroom,Answer:,Where is Daniel? 
25,bedroom,"Answer:

<context>
<question>
What is the name of the",Where is Sandra? 
26,bedroom,"Answer:

<solution>
The answer is: The bedroom

Explanation:",Where is Mary? 
27,kitchen,Answer:,Where is Daniel? 
28,kitchen,Answer:,Where is Daniel? 
29,kitchen,Answer:,Where is Daniel? 
30,hallway,Answer:,Where is Sandra? 
31,office,"Answer:

Explanation:",Where is John? 
32,kitchen,"Answer:

<context>

<answer>

Answer:",Where is Sandra? 
33,kitchen,"Answer:

<solution>
The answer is: The kitchen

Explanation:",Where is Sandra? 
34,bathroom,"Answer:

<choices>
[i] The kitchen
[ii] The",Where is Sandra? 
35,office,Answer:,Where is Mary? 
36,bathroom,Answer:,Where is Mary? 
37,garden,"Answer:
<context>
Mary went to the garden. I am white, and",Where is Mary? 
38,kitchen,Answer:,Where is Sandra? 
39,bedroom,"Answer:

<context>
The answer is: <context>
</context",Where is Daniel? 
40,bathroom,"Answer: The most recent location of Sandra is ""shop.""

Based on the context",Where is Sandra? 
41,garden,Answer:,Where is Daniel? 
42,bathroom,Answer:,Where is Sandra? 
43,hallway,Answer:,Where is Daniel? 
44,garden,Answer:,Where is Daniel? 
45,kitchen,Answer:,Where is Mary? 
46,hallway,"Answer:

<context>
Mary went back to the kitchen. On the eastern",Where is Daniel? 
47,bathroom,Answer:,Where is Sandra? 
48,office,Answer:,Where is John? 
49,bedroom,"Answer:

<choices>
[a]. The bedroom.
[b]. The",Where is John? 
50,bedroom,Answer:,Where is John? 
51,office,Answer:,Where is John? 
52,garden,"Answer:
<context>

<example>
The passage cited by C.",Where is John? 
53,garden,"Answer:

<solution>
<context>
In the mean while, Miss",Where is John? 
54,kitchen,Answer:,Where is Daniel? 
55,bedroom,"Answer:

Explanation:",Where is Mary? 
56,kitchen,"Answer:

Explanation:

<context>
""Now don't get h",Where is Mary? 
57,hallway,"Answer:

Explanation:",Where is Mary? 
58,garden,Answer:,Where is Daniel? 
59,hallway,"Answer:

Explanation:",Where is Sandra? 
60,hallway,"Answer:

<solution>
The answer is: <context>

</",Where is Sandra? 
61,office,"Answer:

<solution>
The answer is: Daniel is in the aftermost",Where is Daniel? 
62,bathroom,"Answer:

Explanation:",Where is Sandra? 
63,garden,"Answer:

<context>

<answer>

Answer:",Where is Daniel? 
64,garden,"Answer:

Possible answers:
[i] The bathroom.
[ii]",Where is Daniel? 
65,kitchen,Answer:,Where is John? 
66,kitchen,"Answer:

<context>

The answer to this question is:",Where is John? 
67,bathroom,Answer:,Where is Daniel? 
68,office,Answer:,Where is Daniel? 
69,office,"Answer:

<context>

<question>

<answer>",Where is Daniel? 
70,garden,"Answer:

Explanation:",Where is Mary? 
71,hallway,"Answer:

Explanation:",Where is Sandra? 
72,garden,"Answer:

<choices>
[i] The garden.
[ii]",Where is Mary? 
73,bedroom,"Answer:

Explanation:",Where is Mary? 
74,bathroom,"Answer:

Explanation:",Where is Mary? 
75,kitchen,"Answer:

Explanation:",Where is Daniel? 
76,kitchen,Answer:,Where is John? 
77,kitchen,Answer:,Where is Daniel? 
78,hallway,,Where is Daniel? 
79,office,"Answer:

<choices>
<!-- answers: -->
<!--",Where is Daniel? 
80,garden,"Answer:

Available options:
[-] The Green Bank
[-] The L",Where is John? 
81,bathroom,"Answer:

<context>

<question>

<answer>",Where is John? 
82,bedroom,"Answer:

<context>
Sandra moved to the kitchen. We marched along",Where is Sandra? 
83,garden,"Answer:
<option>The bathroom
<option>The kitchen
<option>",Where is Mary? 
84,office,"Answer:

<context>
Near the center of the room was a large flat",Where is Daniel? 
85,garden,Answer:,Where is Sandra? 
86,garden,"Answer:

<choices>
<i>A) The garden.</i",Where is Mary? 
87,hallway,"Answer:
<context>
The answer is:
</context>

Question:",Where is John? 
88,kitchen,"Answer:

<context>
Sandra went to the garden.
</context",Where is Sandra? 
89,kitchen,Answer:,Where is Daniel? 
90,bathroom,Answer:,Where is Sandra? 
91,bathroom,"Answer:
<context>
The most recent location of John is the bathroom.",Where is John? 
92,hallway,Answer:,Where is Sandra? 
93,bathroom,"Answer:

Explanation:",Where is Sandra? 
94,bathroom,"Answer:

<context>
<question>
In the context of the following",Where is Sandra? 
95,kitchen,Answer:,Where is John? 
96,kitchen,"Answer: The most recent location of Alan is shop.

------------------------------------------------------------------------

<",Where is Sandra? 
97,kitchen,"Answer:

<choices>
[i] kitchen
[ii] hallway",Where is Mary? 
98,bedroom,"Answer:

<choices>
<i>The kitchen</i>,<br",Where is Mary? 
99,bedroom,Answer:,Where is Mary? 
100,bedroom,Answer:,Where is Mary? 
101,bathroom,Answer:,Where is Sandra? 
102,office,Answer:,Where is Mary? 
103,garden,"Answer:

<choices>
[a]. in the jungle.
[b",Where is Daniel? 
104,garden,"Answer:

<choices>
<option1>The garden.
<option",Where is Daniel? 
105,hallway,Answer:,Where is Mary? 
106,bedroom,Answer:,Where is Daniel? 
107,bathroom,Answer:,Where is Daniel? 
108,office,"Answer:

<solution>
The context says: “Daniel travelled to the bathroom",Where is Daniel? 
109,bedroom,"Answer:

OPTIONS:
- in the kitchen
- in the hallway",Where is John? 
110,bathroom,"Answer:

Explanation:",Where is Daniel? 
111,bathroom,"Answer:

<context>

<context>

<context>",Where is Daniel? 
112,kitchen,Answer:,Where is John? 
113,hallway,"Answer:

Available options:
(A). The kitchen.
(B).",Where is John? 
114,kitchen,"Answer:

Available options:
(A). The bathroom.
(B).",Where is Mary? 
115,garden,Answer:,Where is Sandra? 
116,office,Answer:,Where is John? 
117,kitchen,"Answer:

<choices>
  A. The garden
  B. The kitchen",Where is Mary? 
118,bathroom,"Answer:

<choices>
  <!-- Your answer goes here -->
</",Where is Daniel? 
119,office,"Answer:

In the context of the passage, what is Daniel's location?",Where is Daniel? 
120,bedroom,Answer:,Where is Daniel? 
121,bathroom,"Answer:

<choices>
<a id=""choice1""></a>",Where is Mary? 
122,bedroom,"Answer:

<choices>
<i>The most recent location of Daniel is",Where is Daniel? 
123,hallway,Answer:,Where is Daniel? 
124,bedroom,"Answer:

Explanation:",Where is Mary? 
125,office,"Answer:

OPT:
[i] Tantallon
[ii] Castle",Where is Sandra? 
126,garden,Answer:,Where is John? 
127,garden,Answer:,Where is Daniel? 
128,garden,"Answer:

<choices>
<i>The garden</i>
<",Where is Sandra? 
129,bathroom,Answer:,Where is Sandra? 
130,garden,"Answer:

<context>

<answer>

Answer:",Where is Sandra? 
131,hallway,"Answer:

Explanation:",Where is Mary? 
132,bathroom,"Answer:

<context>
The answer is:

<answer>The",Where is Sandra? 
133,garden,"Answer:

OPT:
[i] The garden.
[ii] The",Where is Sandra? 
134,kitchen,Answer:,Where is John? 
135,bathroom,Answer:,Where is Sandra? 
136,office,"Answer:

<choices>
[i] The office.
[ii]",Where is Sandra? 
137,kitchen,"Answer:

Explanation:",Where is John? 
138,bathroom,"Answer:

<context>
Sandra travelled to the bathroom.
</context",Where is Sandra? 
139,bathroom,Answer:,Where is John? 
140,office,Answer:,Where is Mary? 
141,hallway,Answer:,Where is Mary? 
142,hallway,Answer:,Where is Mary? 
143,office,"Answer:

Explanation:",Where is Sandra? 
144,bedroom,Answer:,Where is Sandra? 
145,kitchen,"Answer: The most recent location of Sandra is the balcony.

Based on the context",Where is Sandra? 
146,kitchen,Answer:,Where is Sandra? 
147,kitchen,Answer:,Where is Daniel? 
148,kitchen,Answer:,Where is Sandra? 
149,kitchen,"Answer:

<solution>

The answer is:

<context>",Where is Daniel? 
150,garden,"Answer:

<choices>
<!-- answers: --><br>",Where is Daniel? 
151,garden,Answer:,Where is Sandra? 
152,bathroom,Answer:,Where is Daniel? 
153,office,Answer:,Where is Daniel? 
154,bedroom,"Answer:

Explanation:",Where is John? 
155,bathroom,"Answer:

<choices>
<i>A) in the kitchen.</",Where is Mary? 
156,garden,"Answer:

Available options:
(A). in the garden.
(B",Where is Daniel? 
157,bedroom,Answer:,Where is John? 
158,office,"Answer:

Explanation:",Where is John? 
159,hallway,"Answer:

Explanation:",Where is Mary? 
160,bedroom,"Answer:

OPT:
[i] The garage.
[ii] The",Where is Daniel? 
161,bedroom,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where is Daniel? 
162,bedroom,"Answer:

OPT:
[i] The bedroom
[ii] The hall",Where is Mary? 
163,garden,Answer:,Where is Mary? 
164,bathroom,"Answer:
The answer is:",Where is Daniel? 
165,garden,"Answer:

<context>
""My aunt's cousin--"" began the but",Where is Sandra? 
166,garden,"Answer:

Available options:
(A). in the garden.
(B",Where is Sandra? 
167,garden,"Answer:

<context>

<question>

<answer>",Where is Daniel? 
168,kitchen,"Answer:

OPT:
[i] The hotel.
[ii] The",Where is Daniel? 
169,bedroom,"Answer:

Available options:
[i] The garden.
[ii]",Where is Mary? 
170,office,Answer:,Where is Daniel? 
171,office,"Answer:

OPT:
[i] The garden.
[ii] The",Where is Daniel? 
172,garden,Answer:,Where is John? 
173,bathroom,Answer:,Where is Sandra? 
174,bathroom,Answer:,Where is Sandra? 
175,office,"Answer:

""In the kitchen.""

,

,

,",Where is Sandra? 
176,kitchen,Answer:,Where is Sandra? 
177,bedroom,"Answer:

Explanation:",Where is Sandra? 
178,office,"Answer:

Explanation:",Where is Sandra? 
179,office,Answer:,Where is Sandra? 
180,hallway,Answer:,Where is Mary? 
181,hallway,Answer:,Where is Mary? 
182,hallway,Answer:,Where is Daniel? 
183,hallway,"Answer:

<context>
The most recent location of Mary is balcony.",Where is Mary? 
184,bedroom,"Answer:

Available options:
(A). in the kitchen.
(B",Where is Sandra? 
185,bathroom,"Answer:

Explanation:

<context>

The context is:",Where is John? 
186,office,Answer:,Where is Daniel? 
187,garden,Answer:,Where is Mary? 
188,kitchen,"Answer:

<context>

Sandra moved to the garden.
</",Where is Sandra? 
189,office,"Answer:

Explanation:",Where is Sandra? 
190,hallway,"Answer:

OPT:
[i] The hallway.
[ii]",Where is Mary? 
191,kitchen,"Answer:

<context>
""The most recent location of 'Charlie'",Where is Sandra? 
192,garden,"Answer:

<choices>
<option>The kitchen</option>
<",Where is Sandra? 
193,hallway,"Answer:
<option>The kitchen
<option>The hallway
<option",Where is Sandra? 
194,hallway,Answer:,Where is Sandra? 
195,garden,"Answer:

<context>

<question>

<answer>",Where is Mary? 
196,office,Answer:,Where is John? 
197,kitchen,"Answer:

<choices>
<!-- correct answer is: <br>",Where is Daniel? 
198,bathroom,"Answer:

<context>
The most recent location of Mary is the garden.",Where is Mary? 
199,bedroom,Answer:,Where is John? 
200,hallway,"Answer:

<choices>
<!-- Your answer goes here -->
</",Where is Mary? 
201,office,"Answer:

<context>

<question>

<answer>",Where is John? 
202,office,Answer:,Where is Daniel? 
203,bedroom,"Answer:

<choices>
[a]. in the kitchen.
[b",Where is Sandra? 
204,hallway,"Answer:

OPT:
[i] The hallway
[ii] The",Where is Sandra? 
205,bathroom,"Answer:

<choices>
<i>The bathroom</i>
<",Where is Sandra? 
206,kitchen,"Answer:

Possible answers:
[i] The kitchen.
[ii]",Where is Mary? 
207,hallway,"Answer:

<context>

Sandra went to the kitchen.
</",Where is Sandra? 
208,bathroom,Answer:,Where is Daniel? 
209,hallway,,Where is John? 
210,bathroom,"Answer: The most recent location of John is balcony.

<context>
The",Where is John? 
211,bedroom,"Answer: The most recent location of John is the bedroom.

Question: Where is",Where is John? 
212,hallway,Answer:,Where is Daniel? 
213,bedroom,Answer:,Where is Mary? 
214,bathroom,"Answer:

Explanation:",Where is Sandra? 
215,bedroom,"Answer:

Explanation:",Where is Mary? 
216,bathroom,"Answer:

Explanation:",Where is John? 
217,hallway,"Answer:

Available options:
[i] bedroom
[ii] hallway",Where is John? 
218,hallway,"Answer:

<choices>
[1]. The kitchen.
[2].",Where is Sandra? 
219,bathroom,"Answer:

<context>
The context states that John went to the bathroom.",Where is John? 
220,bathroom,"Answer:
<option>The kitchen
<option>The hallway
<option",Where is Mary? 
221,hallway,Answer:,Where is Daniel? 
222,kitchen,"Answer:

<choices>
<a id=""choice-1""></a",Where is Daniel? 
223,hallway,Answer:,Where is Sandra? 
224,bedroom,Answer:,Where is John? 
225,office,Answer:,Where is John? 
226,hallway,Answer:,Where is Daniel? 
227,garden,Answer:,Where is Sandra? 
228,bathroom,Answer:,Where is John? 
229,bathroom,"Answer:

<choices>
<!-- answers: <context> </context",Where is John? 
230,office,"Answer:

Explanation:",Where is Daniel? 
231,garden,"Answer:

Explanation:",Where is Mary? 
232,hallway,"Answer:

<context>
The answer is: ""The kitchen.""
</",Where is Daniel? 
233,office,"Answer:

Available options:
(1). The most recent location of Daniel is",Where is Daniel? 
234,hallway,Answer:,Where is John? 
235,bedroom,,Where is Mary? 
236,bedroom,Answer:,Where is Mary? 
237,bedroom,Answer:,Where is Mary? 
238,bedroom,"Answer:

<context>
The most recent location of Daniel is the bedroom.",Where is Daniel? 
239,office,"Answer:

<context>
""Sandra moved to the bedroom. Daniel moved",Where is Sandra? 
240,hallway,Answer:,Where is Daniel? 
241,kitchen,"Answer:

<choices>
<i>The kitchen</i>
<",Where is Mary? 
242,garden,"Answer:

Explanation:",Where is Mary? 
243,garden,Answer:,Where is Mary? 
244,kitchen,Answer:,Where is Mary? 
245,kitchen,"Answer:

OPT:
[i] The mountains.
[ii] The",Where is John? 
