,target,output,question
0,football,Answer:,What did Fred give to Jeff? 
1,Fred,Answer:,Who gave the football to Jeff? 
2,football,Answer:,What did Fred give to Jeff? 
3,Jeff,"Answer:

Explanation:

<context>
<example>
<example",Who did Fred give the football to? 
4,Fred,Answer:,Who did Jeff give the football to? 
5,Jeff,Answer:,Who gave the apple? 
6,Bill,Answer:,Who received the apple? 
7,apple,"Answer: ""The westering sun now warning me that the day was on the w",What did Bill give to Fred? 
8,apple,Answer:,What did Bill give to Fred? 
9,Fred,Answer:,Who received the apple? 
10,Mary,,Who received the milk? 
11,milk,,What did Mary give to Bill? 
12,Bill,"Answer:

Explanation:",Who received the milk? 
13,Bill,Answer:,Who did Mary give the milk to? 
14,milk,"Answer: ""The milk to Mary.""

Is this answer to the question correct?",What did Mary give to Bill? 
15,Jeff,"Answer:

Explanation:",Who received the football? 
16,Fred,Answer:,Who gave the football to Jeff? 
17,football,"Answer: ""an' Jeff went back to the garden.""

Is this answer to",What did Fred give to Jeff? 
18,Jeff,Answer:,Who received the football? 
19,Mary,"Answer:
<image>
<title>Who gave the milk?</title>",Who gave the milk? 
20,milk,Answer:,What did Jeff give to Mary? 
21,Mary,Answer:,Who gave the milk to Jeff? 
22,Mary,"Answer:

Explanation:",Who gave the milk to Jeff? 
23,Bill,Answer:,Who gave the apple to Jeff? 
24,Jeff,Answer:,Who gave the apple? 
25,apple,Answer:,What did Jeff give to Fred? 
26,Fred,"Answer:

Explanation:",Who received the apple? 
27,Jeff,Answer:,Who received the apple? 
28,Jeff,"Answer:

Available options:
(A). Freddy
(B). Jeff",Who gave the apple? 
29,Fred,Answer:,Who did Jeff give the apple to? 
30,Mary,"Answer:

Explanation:",Who gave the milk? 
31,Bill,"Answer:

Explanation:",Who gave the milk? 
32,Bill,"Answer:

Available options:
[1]. Fred
[2]. Bill",Who gave the milk to Mary? 
33,milk,"Answer: ""The sleep and expanding of flowers are most
interestingly reviewed by Mr.",What did Bill give to Mary? 
34,apple,"Answer: ""The apple""

Question: What did Windibrook say to",What did Mary give to Fred? 
35,Jeff,"Answer:

Explanation:",Who did Fred give the milk to? 
36,Jeff,"Answer:
<choices>
[i] Mary
[ii] Bill
[",Who did Fred give the milk to? 
