,target,output,question
0,bedroom,Answer:,What is the bathroom east of?
1,bedroom,,What is west of the kitchen?
2,bathroom,,What is north of the garden?
3,bedroom,,What is south of the kitchen?
4,bedroom,Answer:,What is east of the kitchen?
5,garden,,What is the bathroom west of?
6,kitchen,"Answer: the garden

<context>
<question>
In the following play",What is east of the bedroom?
7,bathroom,Answer:,What is the garden south of?
8,kitchen,"Answer: garden

Based on the context, what is the kitchen south of?",What is south of the office?
9,office,,What is east of the hallway?
10,garden,,What is north of the office?
11,garden,,What is south of the kitchen?
12,bathroom,,What is east of the kitchen?
13,garden,,What is west of the kitchen?
14,garden,,What is north of the bedroom?
15,garden,,What is east of the hallway?
16,hallway,Answer:,What is east of the office?
17,office,"Answer: garden

What is the answer to this question based on the information in the",What is south of the bathroom?
18,garden,,What is the bedroom north of?
19,garden,,What is the kitchen west of?
20,garden,"Answer: draw bridge accidents, 82, 97, 114",What is the office east of?
21,garden,,What is the bathroom south of?
22,bathroom,Answer:,What is north of the bedroom?
23,bathroom,Answer:,What is the bedroom south of?
24,hallway,,What is the bedroom west of?
25,office,,What is east of the bathroom?
26,office,,What is north of the bedroom?
27,hallway,"Answer: garden

<context>
The house was burned by the Confederates, who",What is west of the bathroom?
28,garden,Answer:,What is the bathroom north of?
29,garden,,What is north of the office?
30,bedroom,"Answer: garden

Is the above reasoning correct?

OPT:
(A",What is east of the kitchen?
31,kitchen,Answer:,What is the bathroom east of?
32,bathroom,Answer:,What is north of the garden?
33,kitchen,Answer:,What is the bedroom west of?
34,bedroom,Answer:,What is the kitchen south of?
35,garden,Answer:,What is the bathroom east of?
36,office,"Answer: garden

Answer: garden",What is south of the hallway?
37,bedroom,,What is north of the bathroom?
38,bedroom,Answer: The bathroom is east of the bedroom.,What is the bathroom east of?
39,office,"Answer:
<DW64>
<context>
<example>
The",What is north of the bedroom?
40,bathroom,"Answer: bathroom

Is the answer to the above question by a human being or a",What is south of the kitchen?
41,bedroom,,What is west of the office?
42,kitchen,,What is the garden south of?
43,garden,Answer:,What is south of the bedroom?
44,garden,Answer:,What is the office south of?
45,hallway,,What is the office east of?
46,garden,,What is south of the office?
47,garden,,What is west of the bedroom?
48,garden,Answer:,What is east of the hallway?
49,garden,Answer:,What is the office south of?
50,bedroom,Answer:,What is the hallway north of?
51,garden,"Answer: The garden

Is the question answered correctly?

OPTIONS:",What is north of the bathroom?
52,hallway,,What is the bedroom north of?
53,bathroom,,What is east of the garden?
54,bathroom,Answer:,What is west of the bedroom?
55,garden,Answer:,What is east of the hallway?
56,hallway,Answer:,What is the bedroom east of?
57,kitchen,"Answer: garden

What is the context?",What is west of the hallway?
58,hallway,,What is south of the bedroom?
59,kitchen,"Answer: south

[Illustration]

[Illustration]

[",What is the garden north of?
60,hallway,"Answer: bridge square

What is the context?",What is the bedroom north of?
61,bedroom,"Answer: The bedroom

What is the context?",What is south of the hallway?
62,kitchen,,What is the hallway north of?
63,hallway,,What is west of the bedroom?
64,bedroom,,What is east of the garden?
65,office,Answer:,What is the bedroom north of?
66,bathroom,Answer:,What is the bedroom north of?
67,office,"Answer: D. Eddy, D.

Based on the context, what is",What is the garden south of?
68,kitchen,Answer: The bathroom is west of the kitchen.,What is the bathroom west of?
69,garden,,What is the hallway east of?
70,bathroom,"Answer: bedroom

<example>
The house is south of the garden. The garden",What is south of the bedroom?
71,kitchen,,What is the garden south of?
72,garden,"Answer:
<i>The garden is north of the bedroom.</i>",What is the bedroom south of?
73,bathroom,"Answer: The garden

Is the above reasoning correct?",What is north of the office?
74,bathroom,,What is the hallway north of?
75,bedroom,Answer:,What is south of the hallway?
76,bedroom,,What is the hallway east of?
