,target,output,question
0,bedroom,"Answer:

Available options:
[i] Simiti
[ii] Bog",What is the bathroom east of?
1,bedroom,"Answer:

OPT:
[i] The river bank.
[ii]",What is west of the kitchen?
2,bathroom,"Answer:

OPT:

A). Loch Lomond

B).",What is north of the garden?
3,bedroom,Answer:,What is south of the kitchen?
4,bedroom,Answer:,What is east of the kitchen?
5,garden,Answer:,What is the bathroom west of?
6,kitchen,"Answer:

<context>
<context>
<context>
<context",What is east of the bedroom?
7,bathroom,"Answer:

<context>

<context>

<context>",What is the garden south of?
8,kitchen,Answer:,What is south of the office?
9,office,"Answer:

Available options:
[1]. The garden.
[2].",What is east of the hallway?
10,garden,,What is north of the office?
11,garden,,What is south of the kitchen?
12,bathroom,Answer:,What is east of the kitchen?
13,garden,Answer:,What is west of the kitchen?
14,garden,Answer:,What is north of the bedroom?
15,garden,Answer:,What is east of the hallway?
16,hallway,Answer:,What is east of the office?
17,office,Answer:,What is south of the bathroom?
18,garden,"Answer:

OPTIONS:
[A]. south of the bedroom.
[",What is the bedroom north of?
19,garden,"Answer:

Available options:
(1). north
(2). south",What is the kitchen west of?
20,garden,"Answer:

OPTIONS:
[A]. The office of the President of the United",What is the office east of?
21,garden,"Answer:

<context>

<context>

<context>",What is the bathroom south of?
22,bathroom,,What is north of the bedroom?
23,bathroom,Answer:,What is the bedroom south of?
24,hallway,Answer:,What is the bedroom west of?
25,office,Answer:,What is east of the bathroom?
26,office,Answer:,What is north of the bedroom?
27,hallway,,What is west of the bathroom?
28,garden,Answer:,What is the bathroom north of?
29,garden,"Answer:

<context>
<question>
<answer>
<context",What is north of the office?
30,bedroom,"Answer: Fort McAllister

Question: What is the last port closed?",What is east of the kitchen?
31,kitchen,Answer:,What is the bathroom east of?
32,bathroom,Answer:,What is north of the garden?
33,kitchen,Answer:,What is the bedroom west of?
34,bedroom,Answer:,What is the kitchen south of?
35,garden,"Answer:

<context>
<context.section>
    <context.section",What is the bathroom east of?
36,office,Answer:,What is south of the hallway?
37,bedroom,"Answer:

<context>
<question>
<answer>
<context",What is north of the bathroom?
38,bedroom,"Answer:

<context>
<context>
<context>
<context",What is the bathroom east of?
39,office,Answer:,What is north of the bedroom?
40,bathroom,Answer:,What is south of the kitchen?
41,bedroom,Answer:,What is west of the office?
42,kitchen,Answer:,What is the garden south of?
43,garden,Answer:,What is south of the bedroom?
44,garden,"Possible answers:
[A]. Regina
[B]. Carlton
[C].",What is the office south of?
45,hallway,Answer:,What is the office east of?
46,garden,"Answer:

Available options:
[i] The prairie.
[ii]",What is south of the office?
47,garden,Answer:,What is west of the bedroom?
48,garden,Answer:,What is east of the hallway?
49,garden,"Answer:
A) The office south of is the office of the office of the office of",What is the office south of?
50,bedroom,"Answer:
<context>
<context.section>
<context.paragraph>",What is the hallway north of?
51,garden,Answer:,What is north of the bathroom?
52,hallway,"Answer:

The bedroom is north of the garden.

Question: What is",What is the bedroom north of?
53,bathroom,Answer:,What is east of the garden?
54,bathroom,Answer:,What is west of the bedroom?
55,garden,"Answer:

<context>

The answer to this question is:",What is east of the hallway?
56,hallway,,What is the bedroom east of?
57,kitchen,Answer:,What is west of the hallway?
58,hallway,"Possible answers:
[1]. The hallway.
[2]. The kitchen.",What is south of the bedroom?
59,kitchen,"Possible answers:
[i] south of the garden.
[ii] east of",What is the garden north of?
60,hallway,"Answer:

<context>

The bedroom is north of the hallway.",What is the bedroom north of?
61,bedroom,Answer:,What is south of the hallway?
62,kitchen,"Answer:

<context>
<context>
<context>
<context",What is the hallway north of?
63,hallway,Answer:,What is west of the bedroom?
64,bedroom,Answer:,What is east of the garden?
65,office,Answer:,What is the bedroom north of?
66,bathroom,Answer:,What is the bedroom north of?
67,office,Answer:,What is the garden south of?
68,kitchen,Answer:,What is the bathroom west of?
69,garden,Answer:,What is the hallway east of?
70,bathroom,Answer:,What is south of the bedroom?
71,kitchen,Answer:,What is the garden south of?
72,garden,"Answer: The garden is south of the bedroom.

Question: What is the garden",What is the bedroom south of?
73,bathroom,"Answer: Matthew, Mark, and Luke

<context>

<question>",What is north of the office?
74,bathroom,"Answer:

<context>
<question>
<answer>
<context>",What is the hallway north of?
75,bedroom,Answer:,What is south of the hallway?
76,bedroom,Answer:,What is the hallway east of?
77,bathroom,Answer:,What is north of the office?
78,kitchen,Answer:,What is east of the garden?
79,hallway,Answer:,What is the kitchen south of?
80,garden,Answer:,What is west of the office?
81,office,Answer:,What is the bedroom west of?
82,kitchen,Answer:,What is the hallway south of?
83,garden,Answer:,What is the office west of?
84,bathroom,"Answer:
<a href=""https://en.wikipedia.org/wiki/North"">",What is north of the hallway?
85,office,"Answer:

Available options:
[i] Barn
[ii] Yard",What is west of the garden?
86,office,Answer:,What is west of the garden?
87,garden,"Answer:

<context>

<context>

<context>",What is east of the bathroom?
88,bathroom,"Answer:

OPT:
[i] Parmenter's beeches
[",What is north of the office?
89,kitchen,"Answer:

OPTIONS:
[i] The Severn Bridge
[ii",What is the bedroom west of?
90,office,Answer:,What is the bathroom south of?
91,office,,What is east of the bedroom?
92,bedroom,Answer:,What is south of the office?
93,bathroom,Answer:,What is the garden west of?
94,garden,Answer:,What is the bedroom west of?
95,hallway,Answer:,What is north of the garden?
96,bedroom,"Answer:

<context>
<context>
<context>
<context",What is the kitchen west of?
97,kitchen,"Answer:

Available options:
i). The kitchen.
ii). The bedroom",What is west of the bedroom?
98,bathroom,"Answer:

Available options:
[A]. south of the bathroom.
[",What is the kitchen north of?
99,garden,Answer:,What is the office north of?
100,bedroom,Answer:,What is east of the hallway?
101,kitchen,Answer:,What is south of the hallway?
102,bedroom,"Answer:

OPTIONS:
- The office west of is the office east of",What is the office west of?
103,bathroom,Answer:,What is the kitchen north of?
104,hallway,"Answer:

<context>
<context>
<context>
<context",What is west of the bedroom?
105,bedroom,Answer:,What is west of the kitchen?
106,office,"Answer:

<a href=""https://www.quora.com/What",What is the kitchen south of?
107,bathroom,Answer:,What is west of the garden?
108,bedroom,"Answer:

OPTIONS:
[A]. The bedroom
[B]. The bathroom",What is the bathroom south of?
109,bathroom,Answer:,What is the kitchen west of?
110,garden,"Answer: The hallway west of the bathroom is the mountain.

Question: What",What is the hallway west of?
111,hallway,"Answer: The kitchen is north of the bathroom.

Question: What is the name",What is the kitchen south of?
112,office,Answer:,What is south of the bathroom?
113,hallway,Answer:,What is the office west of?
114,bedroom,Answer:,What is the kitchen north of?
115,office,,What is the garden east of?
116,bedroom,Answer:,What is the hallway south of?
117,bedroom,Answer:,What is the garden west of?
118,hallway,Answer:,What is north of the office?
119,office,,What is west of the hallway?
