,target,output,question
0,bedroom,Answer:,What is the bathroom east of?
1,bedroom,Answer:,What is west of the kitchen?
2,bathroom,"Answer:

<solution>
<context>
The context is:",What is north of the garden?
3,bedroom,"Answer:

<solution>
The answer is: south of the kitchen.",What is south of the kitchen?
4,bedroom,"Answer:

<context>

<footnote>

<p>",What is east of the kitchen?
5,garden,Answer:,What is the bathroom west of?
6,kitchen,"Answer:

<choices>
[1]. The kitchen.
[2].",What is east of the bedroom?
7,bathroom,Answer:,What is the garden south of?
8,kitchen,Answer:,What is south of the office?
9,office,"Answer:
<choices>
 + the garden
 + the bedroom
 + the kitchen",What is east of the hallway?
10,garden,Answer:,What is north of the office?
11,garden,Answer:,What is south of the kitchen?
12,bathroom,"Answer:
<choices> <a href=""/questions/5"">A</a",What is east of the kitchen?
13,garden,Answer:,What is west of the kitchen?
14,garden,Answer:,What is north of the bedroom?
15,garden,Answer:,What is east of the hallway?
16,hallway,,What is east of the office?
17,office,"Answer:

<solution>
The answer is: south of the bathroom",What is south of the bathroom?
18,garden,Answer:,What is the bedroom north of?
19,garden,"Answer:

<choices>
<a id=""choice-1""></a",What is the kitchen west of?
20,garden,Answer:,What is the office east of?
21,garden,"Answer:

Available options:
[i] south of the kitchen.
[",What is the bathroom south of?
22,bathroom,"Answer:

<choices>
i. bathroom
ii. kitchen
iii.",What is north of the bedroom?
23,bathroom,"Answer:

<choices>
[1]. North
[2]. West",What is the bedroom south of?
24,hallway,Answer:,What is the bedroom west of?
25,office,Answer:,What is east of the bathroom?
26,office,Answer:,What is north of the bedroom?
27,hallway,Answer:,What is west of the bathroom?
28,garden,Answer:,What is the bathroom north of?
29,garden,Answer:,What is north of the office?
30,bedroom,"Answer:
<choices>
[i] The bedroom
[ii] The garden",What is east of the kitchen?
31,kitchen,Answer:,What is the bathroom east of?
32,bathroom,Answer:,What is north of the garden?
33,kitchen,Answer:,What is the bedroom west of?
34,bedroom,Answer:,What is the kitchen south of?
35,garden,Answer:,What is the bathroom east of?
36,office,Answer:,What is south of the hallway?
37,bedroom,"Answer:
<choices>
<i>The bedroom</i>
<i",What is north of the bathroom?
38,bedroom,Answer:,What is the bathroom east of?
39,office,"Answer:

<choices>
<i>The bedroom is north of the kitchen",What is north of the bedroom?
40,bathroom,"Answer:
<choices> <a id=""choice-1""></a>",What is south of the kitchen?
41,bedroom,Answer:,What is west of the office?
42,kitchen,Answer:,What is the garden south of?
43,garden,"Answer:

<choices>
i. garden
ii. bathroom
iii.",What is south of the bedroom?
44,garden,Answer:,What is the office south of?
45,hallway,"Answer:

Available options:
[i] Gas office
[ii] Street",What is the office east of?
46,garden,"Answer:

OPTIONS:
[A]. Gas office.
[B].",What is south of the office?
47,garden,"Answer:

<choices>
[i] bathroom
[ii] bathroom",What is west of the bedroom?
48,garden,"Answer:

Available options:
[i] south of the kitchen.
[",What is east of the hallway?
49,garden,"Answer:
<solution>The office is south of the office.</solution>",What is the office south of?
50,bedroom,Answer:,What is the hallway north of?
51,garden,"Answer:
<choices>
<!-- answer is: north of the bathroom -->",What is north of the bathroom?
52,hallway,"Answer:

OPTIONS:
[A]. south of the kitchen.
[",What is the bedroom north of?
53,bathroom,"Answer:

<choices>
<a id=""choice-1""></a",What is east of the garden?
54,bathroom,"Answer:
<solution>
The answer is: west of the bedroom

<",What is west of the bedroom?
55,garden,Answer:,What is east of the hallway?
56,hallway,Answer:,What is the bedroom east of?
57,kitchen,"Answer:

<solution>
The answer is: east of the hallway.",What is west of the hallway?
58,hallway,,What is south of the bedroom?
59,kitchen,Answer:,What is the garden north of?
60,hallway,"Answer:
<choices> <i>south</i> <i>west</",What is the bedroom north of?
61,bedroom,Answer:,What is south of the hallway?
62,kitchen,"Answer:
<solution>
The hallway is north of the kitchen.
</",What is the hallway north of?
63,hallway,"Answer:

<solution>
The answer is: west of the bedroom",What is west of the bedroom?
64,bedroom,"Answer: The garden

Question: What is west of the garden?

Answer",What is east of the garden?
65,office,Answer:,What is the bedroom north of?
66,bathroom,Answer:,What is the bedroom north of?
67,office,Answer:,What is the garden south of?
68,kitchen,"Answer: The bathroom is west of the bedroom.

Is this answer to the question",What is the bathroom west of?
69,garden,"Answer: The hallway is east of the bedroom.

Question: What is the",What is the hallway east of?
70,bathroom,"Answer: The bathroom

Question: What is north of the bedroom?

Answer",What is south of the bedroom?
71,kitchen,Answer:,What is the garden south of?
72,garden,Answer:,What is the bedroom south of?
73,bathroom,Answer:,What is north of the office?
74,bathroom,"Answer:

OPT:
[i] south of the kitchen.
[ii",What is the hallway north of?
75,bedroom,Answer: <i>The bedroom is south of the hallway.</i>,What is south of the hallway?
76,bedroom,"Answer:
<a href=""https://en.wikipedia.org/wiki/Hall",What is the hallway east of?
77,bathroom,"Answer:
<choices>
<i>The house</i>
<i",What is north of the office?
78,kitchen,"Answer:

<choices>
[a]. kitchen
[b]. garden",What is east of the garden?
79,hallway,Answer:,What is the kitchen south of?
80,garden,Answer:,What is west of the office?
81,office,"Answer: The bedroom is west of the kitchen.

Question: What is the kitchen",What is the bedroom west of?
82,kitchen,"Answer:
<choices>
<i>harbour</i>,<i>",What is the hallway south of?
83,garden,Answer:,What is the office west of?
84,bathroom,"Answer:

<choices>
<i>The bedroom</i>
<",What is north of the hallway?
85,office,"Answer:

<choices>
[i] The bathroom
[ii] The",What is west of the garden?
86,office,"Answer:

<choices>
[1]. The drawing-room.
[",What is west of the garden?
87,garden,"Answer:
<choices> <!-- answer the question -->
<item>",What is east of the bathroom?
88,bathroom,Answer:,What is north of the office?
89,kitchen,"Answer:
<choices>
<i>north</i>, <i>south",What is the bedroom west of?
90,office,"Answer:

Available options:
[i] north of the bedroom.
[",What is the bathroom south of?
91,office,Answer:,What is east of the bedroom?
92,bedroom,Answer:,What is south of the office?
93,bathroom,Answer:,What is the garden west of?
94,garden,"Answer:

<list>
<item>
<description>The bedroom is",What is the bedroom west of?
95,hallway,"Answer:

OPTIONS:
- kitchen
- verandah
- garden",What is north of the garden?
96,bedroom,"Answer:
<choices> <i>south of the kitchen</i> <i",What is the kitchen west of?
97,kitchen,"Answer:

<choices>
i. The kitchen
ii. The bedroom",What is west of the bedroom?
98,bathroom,"Answer:

<choices>
[1]. The kitchen.
[2].",What is the kitchen north of?
99,garden,"Answer:

<list>
<item>
<description>The office is",What is the office north of?
100,bedroom,Answer:,What is east of the hallway?
101,kitchen,,What is south of the hallway?
102,bedroom,"Answer:

<choices>
<!--<context>
<!--",What is the office west of?
103,bathroom,"Answer:

Available options:
(A). south of the garden.
(",What is the kitchen north of?
104,hallway,Answer:,What is west of the bedroom?
105,bedroom,"Answer:

<choices>
<i>The house</i>
<",What is west of the kitchen?
106,office,"Answer:
<choices>
<i>north</i>
<i>",What is the kitchen south of?
107,bathroom,"Answer:

Available options:
[-] bathroom
[-] kitchen
[-]",What is west of the garden?
108,bedroom,Answer:,What is the bathroom south of?
109,bathroom,"Answer:
<choices> <i>north</i>, <i>south</",What is the kitchen west of?
110,garden,Answer:,What is the hallway west of?
111,hallway,Answer:,What is the kitchen south of?
112,office,"Answer:

Available options:
[i] north of the kitchen.
[",What is south of the bathroom?
113,hallway,"Answer:

<choices>
 <a href=""/qampage/1",What is the office west of?
114,bedroom,"Answer:

<choices>
i. south of the garden.
ii.",What is the kitchen north of?
115,office,Answer:,What is the garden east of?
116,bedroom,"Answer: The bedroom is south of the hallway.

Based on this paragraph,",What is the hallway south of?
