,target,output,question
0,office,"Possible answers:
[i] in the garden.
[ii] in the kitchen",Where was the apple before the bathroom? 
1,office,"Possible answers:
[i] the garden.
[ii] the kitchen.",Where was the apple before the hallway? 
2,office,"Answer:

Available options:
(I). in the kitchen.
(II",Where was the apple before the hallway? 
3,bathroom,"Answer:

<context>

<context>

<context>",Where was the football before the garden? 
4,bathroom,"Answer:
<a href=""https://en.wikipedia.org/wiki/File",Where was the football before the garden? 
5,garden,"Answer:

Available options:
(i). in the garden.
(ii",Where was the apple before the bathroom? 
6,kitchen,"Answer:

<context>

<context>

<context>",Where was the milk before the office? 
7,kitchen,"Answer:

Available options:
[i] The Big Horn River.
[",Where was the apple before the office? 
8,kitchen,"Answer:

<context>

<context>

<context>",Where was the apple before the office? 
9,bedroom,Answer:,Where was the apple before the office? 
10,garden,Answer:,Where was the apple before the bedroom? 
11,garden,Answer:,Where was the apple before the bedroom? 
12,garden,"Answer:

OPT:
[i] The kitchen.
[ii] The",Where was the milk before the bathroom? 
13,garden,"Answer:

Available options:
(1). The bathroom.
(2).",Where was the milk before the bathroom? 
14,garden,"Answer:

Available options:
(1). The bathroom.
(2).",Where was the milk before the bathroom? 
15,kitchen,"Answer:

OPTIONS:
[-] The garden.
[-] The office",Where was the football before the garden? 
16,kitchen,Answer:,Where was the football before the garden? 
17,garden,Answer:,Where was the milk before the bedroom? 
18,garden,"Answer:

<context>

<context>

<context>",Where was the milk before the bedroom? 
19,bedroom,Answer:,Where was the football before the bathroom? 
20,garden,Answer:,Where was the football before the hallway? 
21,garden,"Answer:

<a href=""/questions/111"">More questions?",Where was the football before the office? 
22,hallway,"Answer:

<choices>
  <listing>
    <item>The bathroom",Where was the football before the garden? 
23,office,"Answer:
<context>
<context>
<context>
<context>",Where was the milk before the kitchen? 
24,kitchen,"OPTIONS:
[A]. in the kitchen.
[B]. in the bathroom",Where was the milk before the bedroom? 
25,bathroom,"OPTIONS:
[a]. in the living room.
[b]. in the",Where was the football before the bedroom? 
26,office,"Answer:

<context>

<context>

<context>",Where was the football before the bedroom? 
27,garden,"Answer:

<br>
pick from the following options:
[A].",Where was the football before the office? 
28,garden,Answer:,Where was the football before the office? 
29,garden,"Answer:

Available options:
[i] The garden.
[ii]",Where was the apple before the office? 
30,bathroom,"Answer:

pick from the following options
[A]. in the garden
[",Where was the apple before the hallway? 
31,office,"Answer:

<context>

<context>

<context>",Where was the apple before the kitchen? 
32,office,"Answer:

<context>

<context>

<context>",Where was the apple before the kitchen? 
33,hallway,Answer:,Where was the milk before the bedroom? 
34,bedroom,"Answer:

<context>

<question>

<answer>",Where was the milk before the garden? 
35,hallway,"Answer:

Available options:
(I). In the hallway.
(",Where was the apple before the bathroom? 
36,hallway,"Answer: The football was in the kitchen.

Question: What was the name of",Where was the football before the kitchen? 
37,bathroom,"Answer: Before the kitchen

Question: Before the kitchen, where was the apple?",Where was the apple before the kitchen? 
38,garden,"Answer:

<context>
Before the bathroom, the apple was in the garden",Where was the apple before the bathroom? 
39,garden,"Answer:
<context>
<context>
<context>
<context>",Where was the apple before the bathroom? 
40,garden,"Answer:

<context>
<context>
<context>
<context",Where was the football before the hallway? 
41,garden,"Answer:

<a href=""https://en.wikipedia.org/wiki/",Where was the football before the hallway? 
42,garden,"Answer:

<context>
Sterne’s influence in Germany lived its",Where was the milk before the hallway? 
43,hallway,"Answer:

<context>
<question>
<answer>
<context",Where was the milk before the bathroom? 
44,bathroom,"Answer:

<context>
<context>
<context>
<context",Where was the football before the hallway? 
45,bedroom,"Answer:

OPT:
[i] Jamestown.
[ii] Matchcot",Where was the apple before the bathroom? 
46,bedroom,Answer:,Where was the apple before the bathroom? 
47,bedroom,"OPTIONS:
[A]. inside the house.
[B]. in the garden",Where was the apple before the bathroom? 
48,bedroom,"OPTIONS:
[a]. inside the kitchen.
[b]. in the garden",Where was the apple before the bathroom? 
49,bedroom,"OPTIONS:
[A]. in the garden.
[B]. in the kitchen",Where was the milk before the hallway? 
50,kitchen,"Answer:

Available options:
[i] the garden
[ii] the",Where was the apple before the garden? 
51,garden,"OPTIONS:
[a]. in the garden.
[b]. in the kitchen",Where was the apple before the bedroom? 
