,target,output,question
0,football,"Answer:

Available options:
[1]. No.
[2]. Yes",What did Fred give to Jeff? 
1,Fred,"Answer:

Available options:
[1]. Jo
[2]. Geert",Who gave the football to Jeff? 
2,football,"Answer: , and Jeff went back to the bathroom.

Is the answer ""Fred",What did Fred give to Jeff? 
3,Jeff,"Answer:

Available options:
[i] Jeff.
[ii] Mary",Who did Fred give the football to? 
4,Fred,Answer:,Who did Jeff give the football to? 
5,Jeff,Answer:,Who gave the apple? 
6,Bill,Answer:,Who received the apple? 
7,apple,Answer:,What did Bill give to Fred? 
8,apple,Answer:,What did Bill give to Fred? 
9,Fred,Answer:,Who received the apple? 
10,Mary,Answer:,Who received the milk? 
11,milk,,What did Mary give to Bill? 
12,Bill,Answer:,Who received the milk? 
13,Bill,"Answer:

<choices>
[a]. Bill
[b]. Jeff",Who did Mary give the milk to? 
14,milk,"Answer: [A]. milk

Question: What did Aggie do after Alfred came",What did Mary give to Bill? 
15,Jeff,"Answer:

Available options:
[i] Aggie.
[ii]",Who received the football? 
16,Fred,"Answer:

Available options:
[i] Alfred
[ii] Fred",Who gave the football to Jeff? 
17,football,"Answer: [Possible answers]

A). The letter
B). The confession",What did Fred give to Jeff? 
18,Jeff,Answer:,Who received the football? 
19,Mary,Answer:,Who gave the milk? 
20,milk,"Answer: The football

Is the answer A or B?

OPT:",What did Jeff give to Mary? 
21,Mary,Answer:,Who gave the milk to Jeff? 
22,Mary,"Answer:

[Illustration]

[Illustration: D]ISTILLING",Who gave the milk to Jeff? 
23,Bill,"Answer:

<choices>
<listing>
<item>
<",Who gave the apple to Jeff? 
24,Jeff,"Answer:

<choices>
[a]. Fred.
[b]. Jeff",Who gave the apple? 
25,apple,"Answer: [Hint: Jeff gave the apple to Fred.]

Who is the",What did Jeff give to Fred? 
26,Fred,Answer:,Who received the apple? 
27,Jeff,"Answer:

Available options:
[-] Fred
[-] Charles
[-]",Who received the apple? 
28,Jeff,"Answer:

Explanation:",Who gave the apple? 
29,Fred,"Answer:

<choices>
[a]. Fred
[b]. Toto",Who did Jeff give the apple to? 
30,Mary,"Answer:

<choices>
i. Mary
ii. Bill
iii.",Who gave the milk? 
31,Bill,"Answer:

Explanation:",Who gave the milk? 
32,Bill,Answer:,Who gave the milk to Mary? 
33,milk,"Answer:
<choices> (A). The apple. (B). The football.",What did Bill give to Mary? 
34,apple,"Answer: Fred gave the apple to Mary.

Question: What was the name of",What did Mary give to Fred? 
35,Jeff,"Answer:

<choices>
i. Papineau
ii. Robert Nelson",Who did Fred give the milk to? 
36,Jeff,"Answer: Fred went back to the garden.

Now, what is the next question",Who did Fred give the milk to? 
37,milk,Answer: The answer is:,What did Jeff give to Mary? 
38,milk,Answer: [Possible answers: 1) The milk; 2) The football;,What did Jeff give to Mary? 
39,Fred,"Answer:

Explanation:",Who gave the apple? 
40,Mary,"Answer:

<context>

Answer: Fred

Question:",Who gave the milk? 
41,milk,,What did Mary give to Fred? 
42,Jeff,"Answer:

<solution>
The answer is: Mary

Explanation:",Who gave the milk? 
43,Fred,"Answer:

<choices>
[1]. Mary
[2]. Fred",Who received the milk? 
44,Mary,"Answer:

<context>

Answer: Mary
</context>

Question",Who gave the milk? 
45,Bill,"Answer:

<choices>
i. Mary went to the garden.
ii",Who did Mary give the milk to? 
46,milk,"Answer: Mary gave the milk to Bill.

Question: What is the name of",What did Mary give to Bill? 
47,Mary,"Answer:

Explanation:",Who gave the milk? 
48,Mary,Answer:,Who did Bill give the milk to? 
49,Bill,"Answer:

<choices>
[a]. Fred.
[b]. Jeff",Who gave the milk to Mary? 
50,Mary,"Answer:

<a href=""https://en.wikipedia.org/wiki/",Who gave the apple to Fred? 
51,Fred,Answer:,Who gave the apple to Mary? 
52,apple,"Answer: apple

Question: What did Mary give to Fred?

Answer:",What did Fred give to Mary? 
53,apple,Answer: <option>a</option> <option>a</option> <option,What did Mary give to Jeff? 
54,apple,"Answer: <option>the apple</option>

Question: What did Aggie",What did Mary give to Jeff? 
55,Fred,"Answer:

<choices>
i. Mary
ii. Aggie
iii",Who received the football? 
56,football,Answer:,What did Bill give to Fred? 
57,Bill,Answer:,Who gave the apple? 
58,Bill,"Answer:

Available options:
[i] Agricola Baudoin.",Who did Mary give the apple to? 
59,Jeff,Answer:,Who did Bill give the apple to? 
60,Jeff,"Answer:

<choices>
i. Mary
ii. Fred
iii.",Who did Bill give the apple to? 
61,Bill,"Answer: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Who gave the apple to Jeff? 
62,Jeff,"Answer:

<solution>
The answer is: Mary.

Reasoning",Who gave the apple to Bill? 
63,Bill,"Answer:

<solution>
Mary received the apple.
</solution>",Who received the apple? 
64,Mary,"Answer: __________________________________________________________

Answer: The answer is: Mary

Who gave",Who gave the milk? 
65,Mary,"Answer:

Available options:
(A). Sam Weller.
(B",Who gave the apple to Bill? 
66,Bill,"Answer:

<choices>
i. Carl
ii. Sam
iii.",Who did Mary give the apple to? 
67,Mary,"Answer: <option>Mary</option>

Explanation:",Who did Bill give the apple to? 
68,apple,"<context>

Answer:

<context>

<context>",What did Bill give to Mary? 
69,Mary,"Answer:

<choices>
i. Mary
ii. Fred
iii.",Who did Bill give the apple to? 
70,apple,"Answer: [PossibleAnswers]

[+] a football
[+]",What did Fred give to Jeff? 
71,Jeff,"Answer:

<solution>

The answer to the question ""Who gave the",Who gave the football? 
72,Jeff,"Answer:
<solution>
The answer is: Fred

Question: Who gave",Who gave the football? 
73,apple,Answer:,What did Fred give to Bill? 
74,apple,"Answer: ""The same Casiri says, with regard to Fez, that it was",What did Fred give to Bill? 
75,Fred,"Answer:
<solution>
The answer is: Fred

Question: Who gave",Who gave the football? 
76,Fred,Answer:,Who gave the football? 
77,Mary,Answer:,Who received the football? 
