,target,output,question
0,football,"Answer: A football.

Question: What did Fred give to Peter?",What did Fred give to Jeff? 
1,Fred,"Answer: The Matron.

Question: What is the meaning of the song """,Who gave the football to Jeff? 
2,football,"Answer: A handkerchief.

Question: What did Fred give to Jeff?",What did Fred give to Jeff? 
3,Jeff,"Answer: Jeff

Question: What did the girl say when she saw the football?",Who did Fred give the football to? 
4,Fred,"Answer: The ""blue devils""

Question: What is the difference between a",Who did Jeff give the football to? 
5,Jeff,"Answer: The first one to give it.

Question: What is the difference between",Who gave the apple? 
6,Bill,"Answer: Fred

Question: What is the difference between a fish dinner and a racing",Who received the apple? 
7,apple,"Answer: The apple.

Question: What did Fred give to Bill?",What did Bill give to Fred? 
8,apple,"Answer: The apple.

Question: What did Fred give to Bill?",What did Bill give to Fred? 
9,Fred,"Answer: Mary.

Question: What is the meaning of the name _Mayab",Who received the apple? 
10,Mary,"Answer: The girls.

Question: What was the name of the milk?",Who received the milk? 
11,milk,"Answer: She gave the milk to Bill.

Question: What did Mary give to",What did Mary give to Bill? 
12,Bill,"Answer: Mary.

Question: Who gave the milk?

Answer: Bill",Who received the milk? 
13,Bill,"Answer: Bill.

Question: Who gave the milk to Mary?

Answer",Who did Mary give the milk to? 
14,milk,"Answer: Milk.

Question: What did Bill give to Mary?

Answer",What did Mary give to Bill? 
15,Jeff,"Answer: Alfred

Question: What did Aggie do with the baby?
Answer:",Who received the football? 
16,Fred,"Answer: Alfred

Question: What did Alfred do when he saw Jimmy?",Who gave the football to Jeff? 
17,football,"Answer: A football.

Question: What did Fred give to Maggie?",What did Fred give to Jeff? 
18,Jeff,"Answer: The girl.

Question: What was the football?

Answer:",Who received the football? 
19,Mary,"Answer: The watchcoat.

Question: Who gave the watchcoat?",Who gave the milk? 
20,milk,"<context>

Answer: The football.

</context>

</",What did Jeff give to Mary? 
21,Mary,Answer: The milk was given to Jeff by the woman who was to be his wife.,Who gave the milk to Jeff? 
22,Mary,"Answer: The boy who went to the
garden. Question: Who gave the milk to Mary",Who gave the milk to Jeff? 
23,Bill,"Answer: The doctor.

Question: What did the doctor give to Jeff?",Who gave the apple to Jeff? 
