,target,output,question
0,hallway,"Answer: In the garden.

Question: Where is the garden?

Answer",Where is the milk? 
1,hallway,"Answer: I have not seen it.
Question: What is it?
Answer:",Where is the football? 
2,hallway,"Answer: It is in the hallway.

Question: What is the football?",Where is the football? 
3,hallway,"Answer: It is in the hallway.

Question: What is the meaning of",Where is the football? 
4,garden,"Answer: It is in the house of the Dessave.

Question: Where",Where is the milk? 
5,garden,"Answer: It's in the milk.

Question: What is the meaning of the",Where is the milk? 
6,bedroom,"Answer: It's in the garden.

Question: What is the name of the",Where is the football? 
7,bedroom,"Answer: In the garden.

Question: Where is the milk?

Answer",Where is the milk? 
8,kitchen,"Answer: In the garden.

Question: What is the meaning of the word _",Where is the football? 
9,kitchen,"Answer: In the garden.

Question: Where is the milk?

Answer",Where is the football? 
10,bedroom,"Answer: In the garden.
Question: Where is the football?
Answer: In the",Where is the football? 
11,hallway,"Answer: In the garden.
Question: Where is the football?
Answer: In the",Where is the football? 
12,garden,"Answer: In the kitchen.

Question: Where is the milk?

Answer",Where is the milk? 
13,garden,"Answer: In the kitchen.

Question: What is the first thing you do when you",Where is the milk? 
14,bathroom,"Answer: In the garden.

Question: What is the apple?

Answer",Where is the apple? 
15,garden,"Answer: In the mother's breast.

Question: What is the best food for",Where is the milk? 
16,garden,"Answer: In the kitchen.

Question: What is the milk?

Answer",Where is the milk? 
17,garden,"Answer: In the garden.

Question: What is the milk?

Answer",Where is the milk? 
18,kitchen,"Answer: In the garden.

Question: What is the apple?

Answer",Where is the apple? 
19,kitchen,"Answer: In the garden.

Question: Where is the apple?

Answer",Where is the apple? 
20,bedroom,"Answer: In the house.

Question: What is the meaning of the word '",Where is the apple? 
21,bedroom,"BOS. [Sighs.] I'll go and get it.

M",Where is the apple? 
22,bathroom,"Answer: In the hallway.

Question: What is the football?",Where is the football? 
23,bathroom,"Answer: It is in the abdomen.

Question: What is the football?",Where is the football? 
24,bedroom,"Answer: It is in the kitchen.

Question: Where is the letter?",Where is the milk? 
25,kitchen,"Answer: It's in the
milk-can.

Question: What is the difference between",Where is the milk? 
26,kitchen,"Answer: It's in the milk-chamber.

Question: Where is the",Where is the milk? 
27,bathroom,"Answer: In the stomach.

Question: What is the apple?

Answer",Where is the apple? 
28,bathroom,"Answer: In the middle of your hand.

Question: What is the apple?",Where is the apple? 
29,kitchen,"Answer: It is in the milk-cow.

Question: What is the",Where is the milk? 
30,garden,"Answer: It is in the room where I am now sitting.

Question: Where",Where is the apple? 
31,garden,"Answer: In the garden.

Question: What is the apple?

Answer",Where is the apple? 
32,kitchen,"Answer: In the garden.

Question: What is the football?

Answer",Where is the football? 
33,kitchen,"Answer: In the lower picture.

Question: Where is the apple?
Answer:",Where is the apple? 
34,kitchen,"Answer: The apple is in the middle of the picture.

Question: Where is",Where is the apple? 
35,office,"Answer: In the cup.

Question: What is the milk?

Answer",Where is the milk? 
36,kitchen,"Answer: In the hall of the house of representatives.

Question: Who was the",Where is the football? 
37,kitchen,"Answer: It is in the hallway.

Question: What is the football?",Where is the football? 
38,kitchen,"Answer: In the hallway.

Question: What is the football?",Where is the football? 
39,bedroom,"Answer: In the kitchen.

Question: Where is the milk?

Answer",Where is the milk? 
40,bedroom,"Answer: In the kitchen.
Question: Where is the milk?
Answer: In the",Where is the milk? 
