,target,output,question
0,bedroom,"Answer: The bathroom east of is the bathroom east of.

Answer: The bathroom",What is the bathroom east of?
1,bedroom,"Answer: The bedroom.

Question: What is east of the bedroom?
Answer:",What is west of the kitchen?
2,bathroom,"Answer: The river Tigui.

Question: What is the name of the river Tig",What is north of the garden?
3,bedroom,"Answer: The hall.

Question: What is north of the kitchen?",What is south of the kitchen?
4,bedroom,"Answer: The side of a hill which the game usually frequents.

Question:",What is east of the kitchen?
5,garden,"Answer: The garden.

Question: What is the garden west of?",What is the bathroom west of?
6,kitchen,"Answer: The Luxembourg Gardens.

Question: What is west of the bedroom?",What is east of the bedroom?
7,bathroom,"Answer: The ""Boulevard St. Michel.""

Question: What is the",What is the garden south of?
8,kitchen,"Answer: The South Foreland.

Question: What is north of the office?",What is south of the office?
9,office,"Answer: The garden.

Question: What is west of the hallway?",What is east of the hallway?
10,garden,"Answer: The office.

Question: What is south of the office?",What is north of the office?
11,garden,"Answer: The kitchen.

Question: What is north of the kitchen?
Answer:",What is south of the kitchen?
12,bathroom,"Answer: The bathroom.

Question: What is west of the kitchen?",What is east of the kitchen?
13,garden,"Answer: The garden.

Question: What is west of the kitchen?",What is west of the kitchen?
14,garden,"Answer: The matted room.

Question: What is north of the bedroom?",What is north of the bedroom?
15,garden,"Answer: The garden.

Question: What is west of the hallway?
Answer",What is east of the hallway?
16,hallway,"Answer: The office is west of the bathroom.
Question: What is west of the bathroom",What is east of the office?
17,office,"Answer: The Glen.

Question: What is north of the bathroom?",What is south of the bathroom?
18,garden,"<DW72>

<DW72>

<D",What is the bedroom north of?
19,garden,"<DW72>

<DW72>

<D",What is the kitchen west of?
20,garden,"Answer: The office east of is the office west of.

Question: What is",What is the office east of?
21,garden,"Answer: The bathroom south of the kitchen.

Question: What is the kitchen?",What is the bathroom south of?
22,bathroom,"Answer: The bathroom.

Question: What is north of the bedroom?",What is north of the bedroom?
23,bathroom,"Answer: The bathroom.

Question: What is the bathroom north of?",What is the bedroom south of?
24,hallway,"Answer: The bedroom is west of the bedroom.

Question: What is the office",What is the bedroom west of?
25,office,"Answer: The East Room.

Question: What is west of the bathroom?",What is east of the bathroom?
26,office,"Answer: The garden.

Question: What is south of the bedroom?",What is north of the bedroom?
27,hallway,"Answer: The water bailiff's office.

Question: What is east of the",What is west of the bathroom?
28,garden,"Answer: The bathroom is north of the kitchen.

Question: What is the bathroom",What is the bathroom north of?
29,garden,"Answer: The garden.

Question: What is south of the office?",What is north of the office?
30,bedroom,"Answer: The South.

Question: What is west of the kitchen?",What is east of the kitchen?
31,kitchen,"Answer: The bathroom is west of the kitchen.

Question: What is the kitchen",What is the bathroom east of?
32,bathroom,"Answer: The garden.

Question: What is the meaning of the words ""the",What is north of the garden?
33,kitchen,"Answer: The hallway.

Question: What is the bedroom east of?",What is the bedroom west of?
34,bedroom,"Answer: The kitchen north of.

Question: What is the kitchen north of?",What is the kitchen south of?
35,garden,"Answer: The bathroom east of is the one that is in the middle of the
building",What is the bathroom east of?
36,office,"Answer: The garden.

Question: What is north of the hallway?",What is south of the hallway?
37,bedroom,"<context>

<context>

<context>

<context>",What is north of the bathroom?
38,bedroom,"Answer: The bathroom is west of the office.

Question: What is the bathroom",What is the bathroom east of?
39,office,"Answer: The rue Vaugirard.

Question: What is south of",What is north of the bedroom?
40,bathroom,"Answer: The bathroom.

Question: What is north of the kitchen?",What is south of the kitchen?
41,bedroom,"Answer: The office.

Question: What is east of the office?",What is west of the office?
42,kitchen,"Answer: The garden north of.

Question: What is the garden south of?",What is the garden south of?
43,garden,"Answer: The garden.

Question: What is north of the bedroom?",What is south of the bedroom?
44,garden,"Answer: The office is south of the office.

Question: What is the office",What is the office south of?
45,hallway,"<DW72>

<DW72>

<D",What is the office east of?
46,garden,"Answer: The prairie.

Question: What is the prairie?

Answer:",What is south of the office?
47,garden,"Answer: The bathroom.

Question: What is the most beautiful example of the super",What is west of the bedroom?
48,garden,"Answer: The base of the column.

Question: What is west of the hall",What is east of the hallway?
49,garden,"Answer: The office north of.

Question: What is the office north of?",What is the office south of?
50,bedroom,"Answer: The hallway is north of the garden.

Question: What is the",What is the hallway north of?
51,garden,"Answer: The garden.

<context>

<context>

<",What is north of the bathroom?
52,hallway,"Answer: The bedroom is south of the garden.

Question: What is the bedroom",What is the bedroom north of?
53,bathroom,"Answer: The house.

Question: What is west of the garden?",What is east of the garden?
54,bathroom,"Answer: The house.

Question: What is east of the bedroom? Answer: The house",What is west of the bedroom?
55,garden,"Answer: The house.

Question: What is west of the hallway?",What is east of the hallway?
56,hallway,Answer: The bedroom east of is the room in which Leonardo da Vinci was born.,What is the bedroom east of?
57,kitchen,"Answer: The west side of the hallway.

Question: What is the name",What is west of the hallway?
58,hallway,"Answer: The garden.

Question: What is north of the bedroom?",What is south of the bedroom?
59,kitchen,"<context>

<context>

<context>

<context>",What is the garden north of?
60,hallway,"Answer: The bedroom north of is the bedroom in the house where the
stranglers",What is the bedroom north of?
61,bedroom,"Answer: The bedroom.

Question: What is north of the hallway?",What is south of the hallway?
62,kitchen,"Answer: The hallway is north of the kitchen.

Question: What is the",What is the hallway north of?
63,hallway,"Answer: The hallway.

Question: What is the name of the room where",What is west of the bedroom?
64,bedroom,"Answer: The church.

Question: What is west of the garden?",What is east of the garden?
65,office,"Answer: The bedroom is north of the garden.

Question: What is the bedroom",What is the bedroom north of?
66,bathroom,"Answer: The bedroom north of is the room in the house where the
master of the",What is the bedroom north of?
67,office,"Answer: The garden south of is the garden south of the garden.

Question:",What is the garden south of?
68,kitchen,"Answer: The bathroom is the one on the right.

Question: What is the",What is the bathroom west of?
69,garden,"Answer: The hallway is east of the hallway.

Question: What is",What is the hallway east of?
70,bathroom,"Answer: The bathroom.

Question: What is north of the bedroom?",What is south of the bedroom?
71,kitchen,"Answer: The garden south of the Tower is the garden of the Temple.

Question",What is the garden south of?
72,garden,"Answer: The garden.

Question: What is the garden south of?",What is the bedroom south of?
73,bathroom,"Answer: The Bible.

Question: What is south of the office?",What is north of the office?
74,bathroom,"Answer: The hallway is the hallway.

Question: What is the hall",What is the hallway north of?
75,bedroom,"Answer: The road to the prison.

Question: What is the meaning of the",What is south of the hallway?
76,bedroom,"Answer: The hallway is east of the bathroom.

Question: What is the",What is the hallway east of?
77,bathroom,"Answer: The sea.

Question: What is the office?

Answer:",What is north of the office?
78,kitchen,"Answer: The river.

Question: What is west of the garden?",What is east of the garden?
79,hallway,"Answer: The kitchen is south of the kitchen.

Question: What is the room",What is the kitchen south of?
80,garden,"Answer: The garden.

Question: What is west of the office?",What is west of the office?
81,office,"Answer: The bedroom west of is the bedroom to the left of the
clergyman",What is the bedroom west of?
82,kitchen,"Answer: The hallway south of is the hallway north of.

Question:",What is the hallway south of?
83,garden,"Answer: The office west of is the office east of.

Question: What is",What is the office west of?
84,bathroom,"Answer: The hallway.

Question: What is south of the hallway?",What is north of the hallway?
85,office,"Answer: The barn.

Question: What is the name of the man who was",What is west of the garden?
86,office,"Answer: The room was very dark, but the windows of the one beyond let in a",What is west of the garden?
87,garden,"Answer: The Exchange.

Question: What is west of the Exchange?",What is east of the bathroom?
88,bathroom,"Answer: The bathroom.

Question: What is the bathroom?

Answer:",What is north of the office?
89,kitchen,"Answer: The bedroom is west of the bedroom.

Question: What is the bedroom",What is the bedroom west of?
90,office,"Answer: The 'palaestra,' or 'balcony,' of the '",What is the bathroom south of?
91,office,"Answer: The sea.

Question: What is west of the bedroom?",What is east of the bedroom?
92,bedroom,"Answer: The south of the office is the country of the Berbers, who
are a",What is south of the office?
93,bathroom,"Answer: The garden west of Ceuta is the garden of the

Question: What",What is the garden west of?
94,garden,"Answer: The bedroom west of is the bedroom of the bed.

Question: What",What is the bedroom west of?
95,hallway,"Answer: The garden is north of the kitchen.

Question: What is the garden",What is north of the garden?
96,bedroom,"Answer: The kitchen is west of the kitchen.

Question: What is the bathroom",What is the kitchen west of?
97,kitchen,"Answer: The kitchen.

Question: What is east of the bedroom?",What is west of the bedroom?
98,bathroom,"<context>

Answer: The Minster house.

</context>",What is the kitchen north of?
99,garden,"Answer: The office south of is the office north of.

Question: What is",What is the office north of?
100,bedroom,"Answer: The bedroom.

Question: What is the bedroom?

Answer:",What is east of the hallway?
101,kitchen,Answer: The _comitatus_ is a personal relation between a man and his,What is south of the hallway?
102,bedroom,"Answer: The office west of is the office east of.

Answer: What is",What is the office west of?
103,bathroom,"Answer: The kitchen is south of the garden.

Question: What is the bathroom?",What is the kitchen north of?
104,hallway,"Answer: The house.

Question: What is east of the bedroom?",What is west of the bedroom?
105,bedroom,"Answer: The kitchen.

Question: What is east of the kitchen?",What is west of the kitchen?
106,office,"Answer: The kitchen of the palace of the Emperor.

Question: What is the",What is the kitchen south of?
107,bathroom,"Answer: The end of this scene may be described in Gordon's own words: ""I",What is west of the garden?
108,bedroom,"Answer: The bathroom south of is the bathroom north of.

Question: What is the",What is the bathroom south of?
109,bathroom,"<context>

<context>

<context>

<context>",What is the kitchen west of?
110,garden,Answer: The hallway west of the house is the main entrance to the house.,What is the hallway west of?
111,hallway,"Answer: The kitchen is north of the bathroom.

Question: What is the kitchen",What is the kitchen south of?
112,office,"Answer: The kitchen.

Question: What is north of the bathroom?",What is south of the bathroom?
113,hallway,"Answer: The office is the place where the ladies of the house
dress themselves.",What is the office west of?
114,bedroom,"Answer: The kitchen is south of the garden.

Question: What is the R",What is the kitchen north of?
115,office,"Answer: The garden east of the hallway is the garden of the
garden.",What is the garden east of?
116,bedroom,"Answer: The hallway north of.

Question: What is the hallway south",What is the hallway south of?
117,bedroom,"Answer: The garden west of is the garden of the house.

Question: What",What is the garden west of?
118,hallway,"Answer: The lake.

Question: What is south of the office?",What is north of the office?
119,office,"Answer: The office.

Question: What is the name of the little girl who",What is west of the hallway?
120,bedroom,Answer: The bathroom north of is the bathroom on the left side of the bathroom.,What is the bathroom north of?
121,kitchen,"Answer: The hallway is north of the kitchen.

Question: What is the",What is the hallway north of?
122,office,Answer: The old house of the family of the Comte d'Artois.,What is east of the bathroom?
123,bathroom,"Answer: The garden.

Question: What is north of the garden?",What is north of the hallway?
124,bathroom,"<context>

<context>

<context>

<context>",What is the bedroom north of?
125,kitchen,"Answer: The mountains.

Question: What is the Supervisor's name?",What is west of the garden?
126,bathroom,"Answer: The river.

Question: What is the river?

Answer:",What is north of the kitchen?
127,hallway,"Answer: The bedroom is east of the kitchen.

Question: What is the bedroom",What is the bedroom east of?
128,garden,"Answer: North of the kitchen.

Question: What is the kitchen?",What is the bedroom south of?
129,hallway,"Answer: The kitchen.

Question: What is west of the bathroom?",What is east of the bathroom?
130,garden,"Answer: The bed-room east of the bedroom.

Question: What is the",What is the bedroom east of?
131,kitchen,"Answer: The bathroom is south of the bedroom.

Question: What is timid",What is south of the bathroom?
132,kitchen,"Answer: The kitchen.

Question: What is the kitchen?

Answer:",What is east of the garden?
133,bathroom,"Answer: The river.

Question: What is the river?

Answer:",What is the hallway east of?
134,office,"Answer: The hallway is west of the hallway.

Question: What is",What is the hallway east of?
135,kitchen,"Answer: The garden of the world.

Question: What is the garden west of",What is the garden east of?
136,bathroom,"<context>

Answer: The bathroom.

</context>

<",What is the bedroom south of?
137,hallway,Answer: The garden east of is the garden of the house of the Virgin Mary.,What is the garden east of?
138,kitchen,"Answer: The kitchen.

Question: What is north of the hallway?",What is south of the hallway?
139,hallway,"<context>

<context>

<context>

<context>",What is west of the kitchen?
140,kitchen,"Answer: The kitchen.

Question: What is south of the garden?",What is north of the garden?
141,office,"Answer: The kitchen is east of the kitchen.

Question: What is the major",What is the kitchen west of?
142,bathroom,"Answer: The kitchen is north of the garden.

Question: What is the garden",What is the kitchen north of?
143,bathroom,"Answer: The creek.

Question: What is west of the kitchen?",What is east of the kitchen?
144,bathroom,"Answer: The creek.

Question: What is west of the garden?",What is east of the garden?
145,kitchen,"<context>

Answer: The office north of.

</context>",What is the office south of?
146,hallway,"Answer: The kitchen north of.

""What is the kitchen north of?"" he asks",What is the kitchen north of?
147,hallway,"Answer: The ""Bullier.""

Question: What is the bedroom east of",What is the bedroom west of?
148,bathroom,"Answer: The ""Hotel de France et Bretagne.""

Question: What is",What is the office west of?
149,hallway,"Answer: The office of the

Answer: The office of the

Answer:",What is the office south of?
150,bathroom,"Answer: The bathroom.

Question: What is the difference between a child and a",What is north of the hallway?
151,garden,"Answer: The bathroom is west of the kitchen.

Question: What is the meaning",What is the bathroom east of?
152,kitchen,"Answer: The bathroom is west of the kitchen.

Question: What is the bathroom",What is the bathroom east of?
153,hallway,"Answer: The barn.

Question: What is north of the kitchen?",What is south of the kitchen?
154,hallway,"Answer: The office is north of the office.

Question: What is the meaning",What is south of the office?
155,garden,"Answer: The garden.

Question: What is the garden east of?",What is the bedroom west of?
156,office,"Answer: The North.

Question: What is the North?

Answer:",What is south of the bedroom?
