,target,output,question
0,office,"Answer: The apple was in the bathroom.

Question: Where was the apple after",Where was the apple before the bathroom? 
1,office,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the hallway? 
2,office,HATCHAM. Daniel went to the garden. Daniel went to the garden. Daniel went,Where was the apple before the hallway? 
3,bathroom,"Answer: In the nursery.

Question: Where was the apple before the garden?",Where was the football before the garden? 
4,bathroom,"Answer: In the garden.

Question: Where was the apple before the garden?",Where was the football before the garden? 
5,garden,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the bathroom? 
6,kitchen,"Answer: In the kitchen.

Question: Where was the apple before the kitchen?",Where was the milk before the office? 
7,kitchen,"Answer: In the garden.

Question: Where was the apple after the office?",Where was the apple before the office? 
8,kitchen,"Answer: In the kitchen.

Question: Where was the milk before the office?",Where was the apple before the office? 
9,garden,"Answer: In the kitchen.

Question: Where was the apple before the bedroom?",Where was the apple before the bedroom? 
10,garden,"Answer: In the kitchen.

Question: What did Daniel do with the apple?",Where was the apple before the bedroom? 
11,garden,"Answer: In the kitchen.

Question: Where was the apple before the bathroom?",Where was the milk before the bathroom? 
12,garden,"Answer: The bathroom.

Question: Where was the apple before the kitchen?",Where was the milk before the bathroom? 
13,garden,"Answer: The bathroom.

Question: Where was the apple before the bedroom?",Where was the milk before the bathroom? 
14,kitchen,"Answer: In the office.

Question: Where was the football after the garden?",Where was the football before the garden? 
15,kitchen,"Answer: In the garden.

Question: Where was the football after the garden?",Where was the football before the garden? 
16,garden,"Answer: The milk was in the bathroom.

Question: Where was the milk after",Where was the milk before the bedroom? 
17,garden,"Answer: In the garden.

Question: Where was the milk after the bedroom?",Where was the milk before the bedroom? 
18,bedroom,"Answer: The football was in the bathroom.

Question: Where was the football after",Where was the football before the bathroom? 
19,garden,"Answer: In the garden.

Question: Where was the football after the hallway",Where was the football before the hallway? 
20,garden,"Answer: The football was in the garden.

Question: Where was the football after",Where was the football before the office? 
21,hallway,"Answer: In the garden.

Question: Where was the football after the garden?",Where was the football before the garden? 
22,office,"Answer: The kitchen.

Question: Where was the milk after the kitchen?",Where was the milk before the kitchen? 
23,kitchen,"Answer: In the kitchen.

Question: Where was the apple before the bedroom?",Where was the milk before the bedroom? 
24,bathroom,"Answer: The bedroom.

Question: Where was the apple before the bedroom?",Where was the football before the bedroom? 
25,office,"Answer: The bedroom.

Question: Where was the apple before the bedroom?",Where was the football before the bedroom? 
26,garden,"Answer: The hallway.

Question: Where was the apple before the office?",Where was the football before the office? 
27,garden,"Answer: The football was in the bedroom.

Question: Where was the apple before",Where was the football before the office? 
28,garden,"Answer: The apple was in the hallway.

Question: Where was the apple",Where was the apple before the office? 
29,bathroom,"Answer: In the garden.

Question: Where was the apple after the hallway",Where was the apple before the hallway? 
30,office,"Answer: In the garden.

Question: Where was the apple before the garden?",Where was the apple before the kitchen? 
31,office,"Answer: The apple was in the kitchen.

Question: Where was the apple after",Where was the apple before the kitchen? 
32,hallway,"Answer: The bedroom.

Question: Where was the milk after the bedroom?",Where was the milk before the bedroom? 
33,bedroom,"Answer: The milk was in the bedroom.

Question: Where was the milk before",Where was the milk before the garden? 
34,hallway,"Answer: The apple was in the kitchen.

Question: Where was the apple before",Where was the apple before the bathroom? 
35,hallway,"Answer: In the garden.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
36,garden,"Answer: The football was in the hallway.

Question: Where was the hall",Where was the football before the hallway? 
37,garden,"Answer: The football was in the hallway.

Question: Where was the football",Where was the football before the hallway? 
38,garden,"Answer: The hallway.

Question: Where was the milk after the hallway",Where was the milk before the hallway? 
39,hallway,"Answer: In the kitchen.

Question: Where was the apple before the bathroom?",Where was the milk before the bathroom? 
