,target,output,question
0,football,"Answer: A football.

Question: What did Fred give to Jeff?",What did Fred give to Jeff? 
1,Fred,"Answer: The Indians.

Question: What is the meaning of the ""bow and",Who gave the football to Jeff? 
2,football,"Answer: The football.

Question: What did Fred give to Jeff?",What did Fred give to Jeff? 
3,Jeff,"Answer: Diego.

Question: What did Diego do when he heard the cry?",Who did Fred give the football to? 
4,Fred,"Answer: Fred

Question: What did Fred give the football to?

Answer",Who did Jeff give the football to? 
5,Jeff,"Answer: The major.

Question: What did the major do with the apple?",Who gave the apple? 
6,Bill,"Answer: The major.

Question: What did the major do?

Answer",Who received the apple? 
7,apple,"Answer: The apple.

Question: What did Bill give to Mary?",What did Bill give to Fred? 
8,apple,"Answer: The apple.

Question: What did Fred give to Bill?",What did Bill give to Fred? 
9,Fred,"Answer: Fred.

Question: What did Fred say?

Answer: He",Who received the apple? 
10,Mary,"Answer: Isabel Jewett.

Question: Who was the washerwoman?",Who received the milk? 
11,milk,"Answer: The milk.

Question: What did Bill give to Mary?",What did Mary give to Bill? 
12,Bill,"Answer: Fred.

Question: What was the milk used for?

Answer",Who received the milk? 
13,Bill,"Answer: Mary gave the milk to Bill.

Question: What did Mary give the",Who did Mary give the milk to? 
14,milk,"Answer: The milk to Bill.

Question: What did Mary give to Bill?",What did Mary give to Bill? 
15,Jeff,"Answer: The Lycosa.

Question: What is the football?",Who received the football? 
16,Fred,"Answer: Fred.

Question: What did Fred give to Jeff?

Answer",Who gave the football to Jeff? 
17,football,"Answer: He gave him the football.

Question: What did Fred say to Jeff",What did Fred give to Jeff? 
18,Jeff,"I

I

I

I

I

I",Who received the football? 
19,Mary,"Answer: Bill.

Question: What did Bill do with the milk?",Who gave the milk? 
20,milk,"Answer: He gave her a kiss.

Question: What did Mary give to Jeff",What did Jeff give to Mary? 
21,Mary,"Answer: Gabriel Carew.

Question: Who gave the milk to Mary?",Who gave the milk to Jeff? 
22,Mary,"Answer: Father Daniel.

Question: What was the name of the ship?",Who gave the milk to Jeff? 
23,Bill,"Answer: The steward.

Question: What did the steward do with the",Who gave the apple to Jeff? 
24,Jeff,"Answer: The steward.

Question: What did the steward do with the",Who gave the apple? 
25,apple,"Answer: A glass of champagne.

Question: What did Fred give to Jeff",What did Jeff give to Fred? 
26,Fred,"Answer: Jeff.

Question: Who was the first to see the woman?",Who received the apple? 
27,Jeff,"Answer: Jeff.

Question: What did Jeff do with the apple?",Who received the apple? 
28,Jeff,"Answer: Freddy Jourdain.

Question: What did Freddy do with the",Who gave the apple? 
29,Fred,"Answer: Jeff gave the apple to Fred.

Question: What did Jeff say about",Who did Jeff give the apple to? 
30,Mary,"Answer: Carmen.

Question: Who gave the apple?

Answer:",Who gave the milk? 
31,Bill,"Answer: Bill.

Question: What did Bill give the milk to?",Who gave the milk? 
32,Bill,"Answer: Lord Bacon.

Question: Who gave the milk to Fred?",Who gave the milk to Mary? 
33,milk,"Answer: He gave her the milk.

Question: What did Fred give to Mary",What did Bill give to Mary? 
34,apple,"Answer: The apple.

Question: What did Windibrook give to Mary",What did Mary give to Fred? 
35,Jeff,"Answer: Cissy

Question: What did Fred give the milk to?",Who did Fred give the milk to? 
36,Jeff,"Answer: Mary.

Question: Who did Fred give the milk to?",Who did Fred give the milk to? 
37,milk,"Answer: He gave her the milk.

Question: What did Mary give to Jeff",What did Jeff give to Mary? 
38,milk,"Answer: He gave her the milk.

Question: What did Fred give to Jeff",What did Jeff give to Mary? 
39,Fred,"Answer: Fred.

Question: Who took the apple?

Answer: Bill",Who gave the apple? 
40,Mary,"Answer: Fred.

Question: Who gave the football?

Answer: Bill",Who gave the milk? 
41,milk,"Answer: Mary gave the milk to Fred.

Question: What did Fred give to",What did Mary give to Fred? 
42,Jeff,"Answer: The milk was given to Mary.

Question: What was the milk?",Who gave the milk? 
43,Fred,"Answer: Emilius and Martin Hartog's daughter.

Question: What was",Who received the milk? 
44,Mary,"Answer: Fred.

Question: What did Fred do with the milk?",Who gave the milk? 
45,Bill,"Answer: Mary gave the milk to Bill.

Question: Who did Mary give the",Who did Mary give the milk to? 
46,milk,"Answer: The milk.

Question: What did Bill give to Mary?",What did Mary give to Bill? 
47,Mary,"Answer: Mary.

Question: Who moved to the garden?

Answer:",Who gave the milk? 
48,Mary,"Answer: Fred.

Question: What was the name of the soldier resting his hands",Who did Bill give the milk to? 
49,Bill,"Answer: Bill.

Question: Who gave the apple to Mary?

Answer",Who gave the milk to Mary? 
50,Mary,"Answer: Mary.

Question: What was the apple?

Answer: A",Who gave the apple to Fred? 
51,Fred,"Answer: Fred.

Question: What was the apple?

Answer: A",Who gave the apple to Mary? 
52,apple,"Answer: He gave her the apple.

Question: What did Mary give to Fred",What did Fred give to Mary? 
53,apple,"Answer: The apple.

Question: What did Jeff give to Mary?",What did Mary give to Jeff? 
54,apple,"Answer: She gave him the apple.

Question: What did Jeff give to Mary",What did Mary give to Jeff? 
55,Fred,"Answer: Bill.

Question: What did Bill do with the football?",Who received the football? 
56,football,"Answer: The football.

Question: What did Fred give to Bill?",What did Bill give to Fred? 
57,Bill,"Answer: Mary.

Question: What did Mary give the apple to?",Who gave the apple? 
58,Bill,"Answer: Bill.

Question: Who did Bill give the apple to?",Who did Mary give the apple to? 
59,Jeff,"Answer: Mary.

Question: What did Mary give the apple to?",Who did Bill give the apple to? 
60,Jeff,"Answer: Trotting Wolf.

Question: What did Trotting Wolf say",Who did Bill give the apple to? 
61,Bill,"Answer: Mary.

Question: What did Mary give to Jeff?

Answer",Who gave the apple to Jeff? 
62,Jeff,"Answer: Doctor Louis.

Question: What was the apple?

Answer:",Who gave the apple to Bill? 
63,Bill,"Answer: Doctor Louis.

Question: Who gave the apple?

Answer:",Who received the apple? 
64,Mary,"Answer: Mary.

Question: Who picked up the football?

Answer:",Who gave the milk? 
65,Mary,"Answer: The Poet.

Question: What was the name of the woman who gave",Who gave the apple to Bill? 
66,Bill,"Answer: Mary gave the apple to Bill.

Question: What did Mary say about",Who did Mary give the apple to? 
67,Mary,"Answer: Mary

Question: What did Mary say when she passed the apple to Bill",Who did Bill give the apple to? 
68,apple,"Answer: He gave her the apple.

Question: What did Mary give to Bill",What did Bill give to Mary? 
69,Mary,"Answer: Muriel

Question: What did Muriel say to Frank?",Who did Bill give the apple to? 
70,apple,"Answer: The football.

Question: What did Jeff give to the man who was",What did Fred give to Jeff? 
