,target,output,question
0,hallway,"Answer: He is in England.

Question: Where is Pocahontas",Where is John? 
1,bathroom,"Answer: She is in the house.

Question: What is she doing?",Where is Mary? 
2,kitchen,"Smith: She is in the kitchen.

Question: What is she doing?",Where is Sandra? 
3,hallway,"Answer: She is in the garden.

Question: Where is John?",Where is Sandra? 
4,kitchen,"Answer: She is in the kitchen.

Question: Where is John?",Where is Sandra? 
5,hallway,"""I'm sure I'm not going to forget that,"" Pauline said, ""but",Where is Sandra? 
6,garden,"Answer: She is in the garden.

Question: What is she doing?",Where is Sandra? 
7,hallway,"<context>

PROMPTLY

<context>

PROMP",Where is Daniel? 
8,office,"Answer: She is in the garden.

Question: What is she doing?",Where is Sandra? 
9,office,"Answer: He is in the office.

Question: Where is Roxie?",Where is Daniel? 
10,kitchen,"Answer: She is in the army.

Question: Where is Cæsar",Where is Mary? 
11,garden,"Answer: She is in the garden.

Question: Where is John?",Where is Mary? 
12,office,"Answer: In the West.

Question: Where is Plato?

Answer:",Where is Daniel? 
13,bedroom,"Answer: She is in the garden.

Question: Where is Daniel?",Where is Mary? 
14,bedroom,"Answer: She is in the garden.

Question: Where is John?",Where is Mary? 
15,kitchen,"""Well, Padre, I don't know. I don't know. I don",Where is John? 
16,garden,"Answer: He is in the garden.

Question: Where is Ruby?",Where is John? 
17,kitchen,"<context>

<context>

<context>

<context>",Where is John? 
18,office,"<context>

<context>

<context>

<context>",Where is Daniel? 
19,kitchen,"Answer: He is in the hallway.

Question: Where is Ruby?",Where is John? 
20,hallway,"Answer: She is in the kitchen.

Question: Where is Mary?",Where is Mary? 
21,office,"Answer: In the office.

Question: Where is Carmen?

Answer",Where is John? 
22,office,"<context>

<context>

<context>

<context>",Where is John? 
23,hallway,"""But, senor,"" interrupted Rosendo, ""I am afraid that the
tra",Where is Sandra? 
24,bedroom,"Answer: He is in the office.

Question: Where is Vesta?",Where is Daniel? 
25,bedroom,"Answer: She is in the

<context>

<context>",Where is Sandra? 
26,bedroom,"<context>

Dear heaven, what a to-do this action of his had",Where is Mary? 
27,kitchen,"Answer: In the kitchen.

Question: What is Daniel doing?

Answer",Where is Daniel? 
28,kitchen,"Answer: He is in the kitchen.

Question: Where is Mary?",Where is Daniel? 
29,kitchen,"Answer: He is at the port of Mogador.

Question: Where is the",Where is Daniel? 
30,hallway,"Answer: In the hallway.

Question: What is the name of the horse",Where is Sandra? 
31,office,"Answer: He is in the office.

Question: What is he doing?",Where is John? 
32,kitchen,"Answer: She is in the kitchen.

Question: What is the name of the",Where is Sandra? 
33,kitchen,"Answer: In the kitchen.

Question: Where is Sandra?

Answer:",Where is Sandra? 
34,bathroom,"Answer: In the kitchen.

Question: Where is the ""copper twins?""",Where is Sandra? 
35,office,"Answer: She is in the studio.

Question: What is the studio?",Where is Mary? 
36,bathroom,"Answer: In the kitchen.

Question: What is the difference between a man and",Where is Mary? 
37,garden,"Answer: In the garden.

Question: What is the difference between a man and",Where is Mary? 
38,kitchen,"Answer: She is in the kitchen.

Question: What is the meaning of the",Where is Sandra? 
39,bedroom,"Answer: He is in the garden.

Question: Where is John?",Where is Daniel? 
40,bathroom,"Answer: She is in the hospital, and is getting better.

Question: What",Where is Sandra? 
41,garden,"Answer: He is in the garden.

Question: What is the meaning of the",Where is Daniel? 
42,bathroom,"Answer: She is in the _Glasgow Herald_ office.

Question: What",Where is Sandra? 
43,hallway,"Doctor Louis and the
ladies entertain a high opinion of them; I do not;",Where is Daniel? 
44,garden,"Answer: He is in the garden.

Question: What is he doing?",Where is Daniel? 
45,kitchen,"Answer: Mary is in the woods.

Question: What is the name of the",Where is Mary? 
46,hallway,"Answer: He is in the kitchen.

Question: Where is Mary?",Where is Daniel? 
47,bathroom,"Answer: She is in the kitchen.

Question: Where is Mary?",Where is Sandra? 
48,office,"Answer: In the garden.

Question: What is the garden?

Answer",Where is John? 
49,bedroom,"Answer: In the garden.

Question: Where is Sandra?

Answer:",Where is John? 
50,bedroom,"Answer: He is in the church.

Question: What is the name of the",Where is John? 
