,target,output,question
0,football,"Answer: He gave him the football.

Question: What did Fred give to Martha",What did Fred give to Jeff? 
1,Fred,"Answer: The Judge.

Question: What was the name of the young man who",Who gave the football to Jeff? 
2,football,"Answer: The football.

Question: What did Dan do with the football?",What did Fred give to Jeff? 
3,Jeff,"Answer: Jeff

Question: What did Jeff give the football to?

Answer",Who did Fred give the football to? 
4,Fred,"Answer: Jeff gave the football to Fred.

Question: What was Jeff's occupation",Who did Jeff give the football to? 
5,Jeff,"Answer: The Duke of Monmouth.

Question: What was the apple?",Who gave the apple? 
6,Bill,"Answer: The Duke of Monmouth.

Question: What was the Duke of Mon",Who received the apple? 
7,apple,"Answer: He gave the apple to Fred.

Question: What did Eleanor say about",What did Bill give to Fred? 
8,apple,"Answer: The apple.

Question: What did Margaret say about the tea?",What did Bill give to Fred? 
9,Fred,"Answer: Fred received the apple from the girl in the photograph.

Question: What",Who received the apple? 
10,Mary,"Answer: Fred.

Question: Who was the boy who was shot through the heart",Who received the milk? 
11,milk,"Answer: Milk.

Question: What did Fred give to Mary?

Answer",What did Mary give to Bill? 
12,Bill,"Answer: Mary.

Question: What did she give to Bill?

Answer",Who received the milk? 
13,Bill,"Answer: Bill.
Question: What did Mary give the milk to?
Answer: Bill",Who did Mary give the milk to? 
14,milk,"Answer: A loaf of bread.
Question: What did Bill give to Mary?
Answer",What did Mary give to Bill? 
15,Jeff,"Answer: Angeline Hall.

Jasper Woodward was wounded in the thigh,",Who received the football? 
16,Fred,"Answer: The Halls.

Question: What is the meaning of the red hand?",Who gave the football to Jeff? 
17,football,"Answer: The football.

Question: What did Fred give to Jeff?",What did Fred give to Jeff? 
18,Jeff,"Answer: Fred.

Question: What is the name of the game?
Answer:",Who received the football? 
19,Mary,"Answer: Bill.

Question: What did he give it to?

Answer",Who gave the milk? 
20,milk,"Answer: The football.

Question: What did Mary give to Jeff?",What did Jeff give to Mary? 
21,Mary,"Answer: Elsie Inglis.

Question: What was the first thing Els",Who gave the milk to Jeff? 
22,Mary,Answer: The milk was given to Jeff by the manager of the Infirmary.,Who gave the milk to Jeff? 
23,Bill,"Answer: Bill.

Question: Who gave the apple to Mary?

Answer",Who gave the apple to Jeff? 
24,Jeff,"Answer: The Squire.

Question: What was the Squire's answer?",Who gave the apple? 
25,apple,"Answer: A piece of apple.

Question: What did Fred give to Jeff?",What did Jeff give to Fred? 
26,Fred,"Answer: Jeff.

Question: What was Jeff’s first thought?",Who received the apple? 
27,Jeff,"Answer: Jeff.

<context>

Question: What did Jeff say to",Who received the apple? 
28,Jeff,"Answer: Ruby.

Question: What is the meaning of the words “as the",Who gave the apple? 
29,Fred,"Answer: Wayland

Question: What did Wayland say about the ranger?",Who did Jeff give the apple to? 
30,Mary,"<context>

Answer: The cow.

</context>

Question",Who gave the milk? 
31,Bill,"Answer: The girl.

Question: What did she give it to?",Who gave the milk? 
32,Bill,"Answer: The Commandeur.

Question: What is the meaning of the word """,Who gave the milk to Mary? 
33,milk,"Answer: He gave her the milk.

Question: What did Bill give to Mary",What did Bill give to Mary? 
34,apple,"Answer: A letter from her mother.

Question: What did Fred give to Mary",What did Mary give to Fred? 
35,Jeff,"""I was very sorry for her, but I couldn't do anything about it.",Who did Fred give the milk to? 
36,Jeff,"Answer: Carmen.

Question: Who did Carmen give the milk to?",Who did Fred give the milk to? 
37,milk,"Answer: The milk.

Question: What did Rosendo do with the milk?",What did Jeff give to Mary? 
38,milk,"Answer: He gave her a piece of paper with a message on it.

Question",What did Jeff give to Mary? 
39,Fred,"Answer: Alfred.

Question: Who gave the apple?

Answer: Alfred",Who gave the apple? 
40,Mary,"Answer: Ben Smart.

Question: What did Ben do to Harry?",Who gave the milk? 
41,milk,"Answer: She gave him a little parcel wrapped in a shop bill.

Question:",What did Mary give to Fred? 
42,Jeff,"Answer: The man from Denver.

Question: What is the meaning of the word",Who gave the milk? 
43,Fred,Answer: Jeff. Question: Who gave the milk? Answer: Jeff. Question: Who drank the,Who received the milk? 
44,Mary,"Answer: Geert.

Question: What did Geert do?

Answer",Who gave the milk? 
45,Bill,"Answer: Beulah.

Question: Who did Beulah give the milk",Who did Mary give the milk to? 
46,milk,"""I'm going to get a job,"" Eleanor said. ""I'm going to get",What did Mary give to Bill? 
47,Mary,"Answer: Aunt Margaret.

Question: What is the difference between a married woman and",Who gave the milk? 
48,Mary,"Answer: Mary.

Question: What did Sidney see?

Answer: The",Who did Bill give the milk to? 
49,Bill,"Answer: The Rosenfeld boy.

Question: What did Palmer do with the money",Who gave the milk to Mary? 
50,Mary,"Answer: The barytone.

Question: What did the barytone say",Who gave the apple to Fred? 
51,Fred,"Answer: Burt.

Question: What did Mary give to Fred?",Who gave the apple to Mary? 
52,apple,"Answer: A paper for a magazine.

Question: What did Fred give to Mary",What did Fred give to Mary? 
53,apple,"Answer: A book.

Question: What did Mary give to Fred?",What did Mary give to Jeff? 
54,apple,"Answer: She gave him the apple.

Question: What did Mary give to Fred",What did Mary give to Jeff? 
55,Fred,"Answer: Bill.

Question: What was the football?

Answer: A",Who received the football? 
56,football,"Answer: A football.

Question: What did Aggie do when she saw Jimmy",What did Bill give to Fred? 
57,Bill,"Answer: Alfred

Question: Who gave the apple?

Answer: Alfred",Who gave the apple? 
58,Bill,"Answer: She gave it to Bill.

Question: What did Bill do with the",Who did Mary give the apple to? 
59,Jeff,"Answer: Mary

Question: What did Mary do with the apple?

Answer",Who did Bill give the apple to? 
60,Jeff,"Answer: Frank.

Question: What did Frank do when he saw the ruff",Who did Bill give the apple to? 
61,Bill,"Answer: Frank Merriwell

Question: What did Frank say to the professor?",Who gave the apple to Jeff? 
62,Jeff,"Answer: The professor.

Question: What was the professor's name?",Who gave the apple to Bill? 
63,Bill,"Answer: Miss Maggie

Question: What did Miss Maggie do with the apple",Who received the apple? 
64,Mary,"Answer: Miss Maggie Duff.

Question: What did she say?",Who gave the milk? 
65,Mary,"Answer: The children.

by the fishermen. The boat was soon in the water,",Who gave the apple to Bill? 
66,Bill,"Answer: Bill.

<DW72>

<DW72>",Who did Mary give the apple to? 
67,Mary,"Answer: Mary.
</context>

</context>

</context>",Who did Bill give the apple to? 
68,apple,"Answer: The apple.

Question: What did Bill give to Mary?",What did Bill give to Mary? 
69,Mary,"<context>

<context>

<context>

<context>",Who did Bill give the apple to? 
70,apple,"<DW66>

<DW67>

<D",What did Fred give to Jeff? 
71,Jeff,"Answer: The author.
Question: Who gave the apple?
Answer: The author.",Who gave the football? 
72,Jeff,"Answer: The author of the _Deutsches Museum_

Question: Who gave",Who gave the football? 
73,apple,"Answer: The apple.

Question: What did Fred give to Jeff? Answer: The apple",What did Fred give to Bill? 
74,apple,"Answer: A pipe.

Question: What did Running Stream say?

Answer",What did Fred give to Bill? 
75,Fred,"Answer: The doctor.

Question: What was the doctor's name?",Who gave the football? 
76,Fred,"Answer: The football was given to the football team by the football
team.",Who gave the football? 
77,Mary,"Answer: Mary.

Question: What did she say?

Answer: She",Who received the football? 
78,Mary,"Answer: The General.

Question: What was the General’s name?",Who gave the football? 
79,football,"Answer: A football.

Question: What did Fred give to Mary?",What did Mary give to Fred? 
80,milk,"Answer: A football.

Question: What did Jessica say to Lucinda?",What did Fred give to Jeff? 
81,milk,"Answer: He gave him a book.

Question: What did Fred give to Jeff",What did Fred give to Jeff? 
82,Fred,"Answer: Fred

Question: What did Guy say about the plan?

Answer",Who did Jeff give the milk to? 
83,milk,"Answer: He gave the milk.

Question: What did Cyril feel when he",What did Jeff give to Fred? 
84,Jeff,"<context>

Answer: Cyril.

<context>

Question",Who gave the milk to Fred? 
85,Fred,"Answer: The Duke of Northumberland.

Question: What was the weather like?",Who did Mary give the apple to? 
86,Fred,"Answer: The Duke of York.

Question: What was the name of the Duke",Who gave the apple to Mary? 
