,target,output,question
0,hallway,"Answer: It is in the kitchen.
Question: Where is the milk?
Answer:",Where is the milk? 
1,hallway,"Answer: It is in the hallway.

Question: Where is the football?",Where is the football? 
2,hallway,"Answer: In the hallway.

Question: What is the football?",Where is the football? 
3,hallway,"Answer: In the garden.

Question: Where is the garden?

Answer",Where is the football? 
4,garden,"Answer: In the kitchen.

Question: What is the meaning of the words """,Where is the milk? 
5,garden,"Answer: In the hut.

Question: What is the hut?

Answer",Where is the milk? 
6,bedroom,"Answer: In the bedroom.

Question: What is the football made of?",Where is the football? 
7,bedroom,"Answer: In the garden.

Question: Where is the butter?

Answer",Where is the milk? 
8,kitchen,"<context>

<context>

<context>

<context>",Where is the football? 
9,kitchen,"Answer: In the middle of the slate.

Question: Where is the bow?",Where is the football? 
10,bedroom,"Answer: In the great audience-chamber.

Question: Where is the kitchen",Where is the football? 
11,hallway,"Answer: In the garden.

Question: What is the football?

Answer",Where is the football? 
12,garden,"Answer: It is in the kitchen.

Question: Where is the football?",Where is the milk? 
13,garden,"Answer: It’s in the kitchen.

Question: What is the name of",Where is the milk? 
14,bathroom,"Answer: In the garden.

Question: Where is the apple?

Answer",Where is the apple? 
15,garden,"Answer: In the garden.

Question: What is the meaning of the question?",Where is the milk? 
16,garden,"Answer: It is in the garden.

Question: Where is the milk?",Where is the milk? 
17,garden,"Answer: It is in the kitchen.

Question: What is the meaning of the",Where is the milk? 
18,kitchen,"Answer: In the garden.

Question: What is the apple?

Answer",Where is the apple? 
19,kitchen,"Answer: It is in the garden.

Question: Where is the apple?",Where is the apple? 
20,bedroom,"Answer: In the library of the Academy of Cortona.

Question: Where is",Where is the apple? 
21,bedroom,"Answer: In the cupboard.

Question: Where is the cupboard?",Where is the apple? 
22,bathroom,"Answer: In the hallway.

Question: Where is the football?",Where is the football? 
23,bathroom,"Answer: In the hallway.

Question: What is the football?",Where is the football? 
24,bedroom,"Answer: In the kitchen.

Question: Where is the milk?

Answer",Where is the milk? 
25,kitchen,"Answer: In the kitchen.

Question: What is the milk?

Answer",Where is the milk? 
26,kitchen,"Answer: In the kitchen.

Question: Where is the milk?

Answer",Where is the milk? 
27,bathroom,"Answer: It is in the kitchen.

Question: Where is the apple?",Where is the apple? 
28,bathroom,"Answer: It is in the kitchen.

Question: What is the captain’s",Where is the apple? 
29,kitchen,"Answer: It is in the kitchen.

Question: What is the milk for?",Where is the milk? 
30,garden,"Answer: It is in the garden.

Question: What is the apple?",Where is the apple? 
