,target,output,question
0,bedroom,"Answer: The bathroom east of is the bathroom.

Question: What is the bedroom",What is the bathroom east of?
1,bedroom,"Answer: The hallway.

Question: What is west of the kitchen?",What is west of the kitchen?
2,bathroom,"Answer: The bathroom.

Question: What is south of the garden?",What is north of the garden?
3,bedroom,"Answer: The kitchen is south of the bathroom. This goes on for a time, when",What is south of the kitchen?
4,bedroom,"Answer: The bedroom.

Question: What is west of the bedroom?",What is east of the kitchen?
5,garden,"Answer: The bathroom is west of the hallway.

Question: What is the",What is the bathroom west of?
6,kitchen,"Answer: The kitchen.

Question: What is west of the bedroom?",What is east of the bedroom?
7,bathroom,"Answer: The garden is north of the bedroom.

Question: What is the bathroom",What is the garden south of?
8,kitchen,"Answer: The garden.

Question: What is north of the office?",What is south of the office?
9,office,"Answer: The right of deposition.

Question: What is west of the hallway",What is east of the hallway?
10,garden,"Answer: The hallway.

Question: What is south of the office?",What is north of the office?
11,garden,"Answer: The garden.

Question: What is north of the kitchen?",What is south of the kitchen?
12,bathroom,"Answer: The bathroom.

Question: What is west of the bathroom?",What is east of the kitchen?
13,garden,"Answer: The garden.

Question: What is east of the garden?",What is west of the kitchen?
14,garden,"Answer: The bedroom is north of the office.

Question: What is south of",What is north of the bedroom?
15,garden,"Answer: The garden.

Question: What is west of the hallway?",What is east of the hallway?
16,hallway,"Answer: The hallway.

Question: What is west of the office?",What is east of the office?
17,office,"Answer: The kitchen.

Question: What is north of the bathroom?",What is south of the bathroom?
18,garden,"Answer: The kitchen.

Question: What is the garden south of?",What is the bedroom north of?
19,garden,"Answer: The kitchen is east of the garden.

Question: What is the garden",What is the kitchen west of?
20,garden,"Answer: The office is east of the office.

Question: What is the office",What is the office east of?
21,garden,"Answer: The bathroom is north of the kitchen.

Question: What is the garden",What is the bathroom south of?
22,bathroom,"Answer: The bathroom.

Question: What is north of the bathroom?",What is north of the bedroom?
23,bathroom,"Answer: The bathroom.

Question: What is the bathroom north of?",What is the bedroom south of?
24,hallway,"Answer: The age of steel.

Question: What is the hallway east of",What is the bedroom west of?
25,office,"Answer: The
</context>

Answer: The
</context>

Answer",What is east of the bathroom?
26,office,"Answer: The bedroom.

Question: What is north of the hallway?",What is north of the bedroom?
27,hallway,"Answer: The West Woods.

Question: What is east of the bathroom?",What is west of the bathroom?
28,garden,"Answer: The garden.

Question: What is the garden south of?",What is the bathroom north of?
29,garden,"Answer: The garden.

Question: What is south of the office?",What is north of the office?
30,bedroom,"Answer: The bedroom.

Question: What is north of the bedroom?",What is east of the kitchen?
31,kitchen,"Answer: The kitchen.

Question: What is the bathroom west of?",What is the bathroom east of?
32,bathroom,"Answer: The bathroom.

Question: What is south of the garden?",What is north of the garden?
33,kitchen,"Answer: The hallway.

Question: What is the bedroom east of?",What is the bedroom west of?
34,bedroom,"Answer: The kitchen is south of the dining room.

Question: What is the",What is the kitchen south of?
35,garden,"Answer: The garden.

Question: What is the next few months will slip by",What is the bathroom east of?
36,office,"Answer: The office in the hallway.

Question: What is north of the",What is south of the hallway?
37,bedroom,"Answer: The room in which the captain and his men were.

Question: What",What is north of the bathroom?
38,bedroom,"Answer: The bathroom is west of the office.

Question: What is the room",What is the bathroom east of?
39,office,"Answer: The office.

Question: What is south of the bedroom?",What is north of the bedroom?
40,bathroom,"Answer: The hallway.

Question: What is north of the kitchen?",What is south of the kitchen?
41,bedroom,"Answer: The bedroom.

Question: What is east of the office?",What is west of the office?
42,kitchen,"Answer: The garden is north of the kitchen.

Question: What is the bedroom",What is the garden south of?
43,garden,"Answer: The garden.

Question: What is north of the bedroom?",What is south of the bedroom?
44,garden,"Answer: The office is south of the hallway.

Question: What is the",What is the office south of?
45,hallway,"Answer: The office west of the office.

Question: What is the office north",What is the office east of?
46,garden,"Answer: The garden.

[
</context>

Question: What is",What is south of the office?
47,garden,"Answer: The bedroom is west of the bathroom.

Question: What is the shape",What is west of the bedroom?
48,garden,"Answer: The garden.

Question: What is north of the hallway?",What is east of the hallway?
49,garden,"Answer: The office is north of the garden.

Question: What is the garden",What is the office south of?
50,bedroom,"<context>

<context>

<context>

<context>",What is the hallway north of?
51,garden,"Answer: The garden.

Question: What is north of the bathroom?",What is north of the bathroom?
52,hallway,"Answer: The garden.

Question: What is the bedroom south of?",What is the bedroom north of?
53,bathroom,"Answer: The bathroom.

Question: What is west of the garden?",What is east of the garden?
54,bathroom,"Answer: The bathroom.

Question: What is east of the bedroom?",What is west of the bedroom?
55,garden,"Answer: The garden.

Question: What is west of the hallway?",What is east of the hallway?
56,hallway,"""I don't know,"" Beulah said. ""I don't know where the",What is the bedroom east of?
57,kitchen,"Answer: The garden.

Question: What is east of the hallway?",What is west of the hallway?
58,hallway,"Answer: The garden.

Question: What is north of the bedroom?",What is south of the bedroom?
59,kitchen,"Answer: The garden is north of the church.

Question: What is the church",What is the garden north of?
60,hallway,"Answer: The bedroom north of the hallway.

Question: What is the bathroom",What is the bedroom north of?
61,bedroom,"Answer: The bedroom.

Question: What is the name of the first steamboat",What is south of the hallway?
62,kitchen,"Answer: The garden.

Question: What is the garden?

Answer:",What is the hallway north of?
63,hallway,"Answer: The hallway.

Question: What is west of the hallway?",What is west of the bedroom?
64,bedroom,"Answer: The garden is east of the office.

Question: What is west of",What is east of the garden?
65,office,"<context>

<context>

<context>

<context>",What is the bedroom north of?
66,bathroom,Answer: The bedroom north of is the room where the body of the President was laid out,What is the bedroom north of?
67,office,"A. D. Eddy, D., who was pastor from 1823",What is the garden south of?
68,kitchen,"Answer: The bathroom is west of the kitchen.

Question: What is the garden",What is the bathroom west of?
69,garden,"Answer: The hallway is west of the hallway.

Question: What is",What is the hallway east of?
70,bathroom,"Answer: The bathroom.

Question: What is the bathroom?

Answer:",What is south of the bedroom?
71,kitchen,"Answer: The garden is north of the kitchen.

Question: What is the kitchen",What is the garden south of?
72,garden,"Answer: The bedroom north of.

Question: What is the bedroom north of?",What is the bedroom south of?
73,bathroom,"Answer: The bathroom is north of the office.

Question: What is south of",What is north of the office?
74,bathroom,"Answer: The hallway is north of the office.

Question: What is the",What is the hallway north of?
75,bedroom,"Answer: The garden.

Question: What is the garden?

Answer:",What is south of the hallway?
76,bedroom,"Answer: The hallway is east of the bathroom.

Question: What is the",What is the hallway east of?
77,bathroom,"Answer: The bathroom.

Question: What is the landlady's 'usband",What is north of the office?
78,kitchen,"Answer: The kitchen.

Question: What is the name of the garden? Answer: The",What is east of the garden?
79,hallway,"Answer: The kitchen is south of the kitchen.

Question: What is the hall",What is the kitchen south of?
80,garden,"Answer: The garden.

Question: What is west of the garden?",What is west of the office?
81,office,"Answer: The bedroom is west of the hallway.

Question: What is the",What is the bedroom west of?
82,kitchen,"Answer: The hallway is south of the kitchen.

VINTON &",What is the hallway south of?
83,garden,Answer: The office west of the crossing is the office east of the crossing.,What is the office west of?
84,bathroom,"Answer: The bathroom.

Question: What is south of the hallway?",What is north of the hallway?
85,office,Answer: The _Terrae filius_ (the _University Buffoon_).,What is west of the garden?
86,office,"Answer: The theater.

Question: What is east of the garden?",What is west of the garden?
87,garden,"Answer: The kitchen.

Question: What is west of the bathroom?",What is east of the bathroom?
