,target,output,question
0,bedroom,"Answer: The bathroom is west of the bedroom.

Question: What is the bedroom",What is the bathroom east of?
1,bedroom,"Answer: The hallway.

Question: What is the name of the instrument on",What is west of the kitchen?
2,bathroom,Answer: The _basso-rilievo_ ornamented the main entrance into the,What is north of the garden?
3,bedroom,Answer: The _Palacio_ is south of the _Bathroom_.,What is south of the kitchen?
4,bedroom,"Answer: The bedroom.

Question: What is west of the bedroom?",What is east of the kitchen?
5,garden,"""The bathroom, sir.""

""And the kitchen, sir.""

""",What is the bathroom west of?
6,kitchen,"Answer: The garden.

Question: What is west of the bedroom?",What is east of the bedroom?
7,bathroom,"Answer: The garden is north of the bedroom.

Question: What is the bathroom",What is the garden south of?
8,kitchen,"Answer: The garden.

Question: What is the garden?

Answer:",What is south of the office?
9,office,"Answer: The garden.

Question: What is west of the hallway?",What is east of the hallway?
10,garden,"Answer: The garden.

Question: What is south of the office?",What is north of the office?
11,garden,"Answer: The garden.

Question: What is north of the kitchen?",What is south of the kitchen?
12,bathroom,"Answer: The bathroom.

Question: What is west of the kitchen?",What is east of the kitchen?
13,garden,"Answer: The garden.

Question: What is east of the kitchen?",What is west of the kitchen?
14,garden,"Answer: The garden.

Question: What is south of the bedroom?",What is north of the bedroom?
15,garden,"Answer: The garden.

Question: What is west of the hallway?",What is east of the hallway?
16,hallway,"Answer: The hallway.

Question: What is west of the office?",What is east of the office?
17,office,"Answer: The kitchen.

Question: What is north of the bathroom?",What is south of the bathroom?
18,garden,"Answer: The kitchen.

Question: What is the garden south of?",What is the bedroom north of?
19,garden,"Answer: The kitchen is west of the kitchen.

Question: What is the bedroom",What is the kitchen west of?
20,garden,"Answer: The office is east of the hallway.

<context>",What is the office east of?
21,garden,"Answer: The kitchen.

Question: What is the kitchen?

Answer:",What is the bathroom south of?
22,bathroom,"Answer: The bathroom.

Question: What is the bathroom?

Answer:",What is north of the bedroom?
23,bathroom,"Answer: The bathroom.

Question: What is the bathroom?

Answer:",What is the bedroom south of?
24,hallway,"Answer: The bedroom is west of the bedroom.

Question: What is the bedroom",What is the bedroom west of?
25,office,"Answer: The kitchen.

Question: What is west of the bathroom?",What is east of the bathroom?
26,office,"Answer: The bedroom is north of the hallway.

Question: What is south",What is north of the bedroom?
27,hallway,"Answer: The Grand-duke's bedroom.

Question: What is the Grand",What is west of the bathroom?
28,garden,"Answer: The _bath_-room.

Question: What is the _bath",What is the bathroom north of?
29,garden,"Answer: The garden.

Question: What is the difference between the Emperor of Russia",What is north of the office?
30,bedroom,"Answer: The bedroom.

Question: What is west of the kitchen?",What is east of the kitchen?
31,kitchen,"Answer: The kitchen.

<context>
""I have strict orders,"" said",What is the bathroom east of?
32,bathroom,"Answer: The Maidenhair tree.

Question: What is south of the garden",What is north of the garden?
33,kitchen,"Answer: The bedroom west of is the hallway.

Question: What is the",What is the bedroom west of?
34,bedroom,"Answer: The kitchen is south of the dining room.

Question: What is the",What is the kitchen south of?
35,garden,"Answer: West of the garden.

Question: What is the bedroom?",What is the bathroom east of?
36,office,"Answer: The office is south of the hallway.

Question: What is north",What is south of the hallway?
37,bedroom,"Answer: The People's theater.

Question: What is the name of the building",What is north of the bathroom?
38,bedroom,"Answer: The bathroom is west of the office.

Question: What is the bathroom",What is the bathroom east of?
39,office,"Answer: The office.

Question: What is south of the bedroom?",What is north of the bedroom?
40,bathroom,Answer: The first Minnesota battery was organized at Fort Snelling in the fall of 1,What is south of the kitchen?
41,bedroom,"Answer: The bedroom is west of the office.

Question: What is the bedroom",What is west of the office?
42,kitchen,"Answer: The garden is north of the kitchen.

Question: What is the kitchen",What is the garden south of?
43,garden,"Answer: The garden.

Question: What is north of the bedroom?",What is south of the bedroom?
44,garden,"Answer: The sick-bay.

Question: What is the office north of?",What is the office south of?
45,hallway,"Answer: The mess-caterer's office.

Question: What is the",What is the office east of?
46,garden,"Answer: The garden.

Question: What is the Minster house?",What is south of the office?
47,garden,"Answer: The bathroom.

Question: What is east of the bedroom?",What is west of the bedroom?
48,garden,"Answer: The Minster iron-works.

Question: What is the Minster",What is east of the hallway?
49,garden,"Answer: The office is north of the office.

Question: What is the first",What is the office south of?
50,bedroom,"Answer: The hallway is north of the garden.

Question: What is the",What is the hallway north of?
51,garden,"Answer: The garden.

Question: What is north of the garden?",What is north of the bathroom?
52,hallway,"Answer: The bedroom south of.

Question: What is the bedroom north of?",What is the bedroom north of?
53,bathroom,"Answer: The bathroom.

[Transcriber’s Note:

The",What is east of the garden?
54,bathroom,"Answer: The bathroom.

Question: What is north of the bedroom?",What is west of the bedroom?
55,garden,"Answer: The garden.

Question: What is west of the hallway?",What is east of the hallway?
56,hallway,"Answer: The hallway.

Question: What is the room west of?",What is the bedroom east of?
57,kitchen,"Answer: The kitchen.

Question: What is the name of the first battle of",What is west of the hallway?
58,hallway,"Answer: The house of Roxie Daymon.

Question: What is north",What is south of the bedroom?
59,kitchen,"Answer: The garden is north of the river.

Question: What is the bathroom",What is the garden north of?
60,hallway,"Answer: The room north of the hallway.

Question: What is the room",What is the bedroom north of?
61,bedroom,"Answer: The palace of the Emperor.

Question: What is north of the hall",What is south of the hallway?
62,kitchen,"Answer: The kitchen.

Question: What is the hallway south of?",What is the hallway north of?
63,hallway,"Answer: The hallway.

Question: What is west of the bedroom?",What is west of the bedroom?
64,bedroom,"Answer: The bedroom.

Question: What is west of the garden?",What is east of the garden?
65,office,"Answer: The bedroom is south of the garden.

Question: What is the room",What is the bedroom north of?
66,bathroom,[2] The full value of the rix-dollar was 60 Dutch st,What is the bedroom north of?
67,office,"Answer: The garden south of the castle is the park.

Question: What is",What is the garden south of?
68,kitchen,"Answer: The bathroom is west of the kitchen.

Question: What is the bathroom",What is the bathroom west of?
69,garden,Answer: The hallway east of is the hallway that leads to the bathroom.,What is the hallway east of?
70,bathroom,"Answer: The bathroom.

Question: What is the bathroom?

Answer:",What is south of the bedroom?
71,kitchen,"Answer: The garden is south of the house.

Question: What is the house",What is the garden south of?
72,garden,"Answer: The garden.

Question: What is the garden?

Answer:",What is the bedroom south of?
73,bathroom,"Answer: The bathroom.

Question: What is south of the office?",What is north of the office?
74,bathroom,"Answer: The hallway is south of the office.

Question: What is the",What is the hallway north of?
75,bedroom,"Answer: The bedroom.

Question: What is west of the bedroom?",What is south of the hallway?
76,bedroom,"Answer: The hallway is east of the bedroom.

Question: What is the",What is the hallway east of?
77,bathroom,"Answer: The station.

Question: What is the station?

Answer:",What is north of the office?
78,kitchen,"Answer: The station.

<context>

Question: What is west of",What is east of the garden?
79,hallway,"<context>
“And he _is_ a wicked old
one; Dick said",What is the kitchen south of?
80,garden,"Answer: The garden.

Question: What is west of the garden?",What is west of the office?
81,office,"Answer: The ladies' cabin.

Question: What is the _shadow_",What is the bedroom west of?
82,kitchen,"Answer: The bathroom.

Question: What is the train for?

Answer",What is the hallway south of?
83,garden,"THE CYNICAL MISS CATHERWAIGHT


<context>
THE",What is the office west of?
84,bathroom,"Answer: The bathroom is north of the hallway.

Question: What is the",What is north of the hallway?
85,office,"Answer: The bathroom.

Question: What is the common name for the bathroom?",What is west of the garden?
86,office,"Answer: The house on Houston street.

Question: What is west of the garden",What is west of the garden?
87,garden,"Answer: The garden.

Question: What is west of the bathroom?",What is east of the bathroom?
88,bathroom,"Answer: The kitchen.

Question: What is the bathroom?

Answer:",What is north of the office?
89,kitchen,"Answer: The bedroom west of is the bedroom.

Question: What is the bedroom",What is the bedroom west of?
90,office,"Answer: The bathroom is north of the office.

Question: What is the bathroom",What is the bathroom south of?
91,office,"Answer: The school of the Catholic reactionaries.

<context>

Question",What is east of the bedroom?
92,bedroom,"Answer: The bedroom.

Question: What is north of the hallway?",What is south of the office?
93,bathroom,"Answer: The garden east of.

Question: What is the garden west of?",What is the garden west of?
94,garden,"Answer: The bedroom west of is the room in which the experimenter
is placed.",What is the bedroom west of?
95,hallway,"Answer: The wardroom.

Question: What is south of the garden?",What is north of the garden?
96,bedroom,"Answer: The kitchen is east of the dining-room.

Question: What is",What is the kitchen west of?
97,kitchen,"Answer: The kitchen.

Question: What is west of the kitchen?",What is west of the bedroom?
98,bathroom,"Answer: The kitchen is south of the bathroom.

Question: What is the bathroom",What is the kitchen north of?
99,garden,"Answer: The office is north of the Exchange.

Question: What is the office",What is the office north of?
100,bedroom,"Answer: The bedroom is west of the garden.

Question: What is west of",What is east of the hallway?
101,kitchen,"Answer: The kitchen.

Question: What is the difference between the medicine-d",What is south of the hallway?
102,bedroom,"Answer: The bathroom is west of the office.

Question: What is the bathroom",What is the office west of?
103,bathroom,"Answer: The kitchen is south of the garden.

Question: What is the garden",What is the kitchen north of?
104,hallway,"Answer: The bed.

Question: What is east of the bedroom?",What is west of the bedroom?
105,bedroom,"Answer: The bedroom.

Question: What is east of the kitchen?",What is west of the kitchen?
106,office,"Answer: The kitchen of the house.

Question: What is the kitchen north of",What is the kitchen south of?
107,bathroom,"Answer: The bathroom.

Question: What is east of the bathroom?",What is west of the garden?
108,bedroom,"<context>

<context>

<context>

<context>",What is the bathroom south of?
109,bathroom,"Answer: The Tombs.

Question: What is the Tombs?",What is the kitchen west of?
110,garden,"Answer: The hallway is east of the bathroom.

Question: What is the",What is the hallway west of?
111,hallway,"Answer: The kitchen is north of the bathroom.

Question: What is the kitchen",What is the kitchen south of?
112,office,"Answer: The office is south of the bathroom.

Question: What is north of",What is south of the bathroom?
113,hallway,"Answer: The office is west of the office.

Question: What is the office",What is the office west of?
114,bedroom,"Answer: The kitchen is south of the garden.

Question: What is the kitchen",What is the kitchen north of?
115,office,"Answer: The garden east of the garden is the place where the
Rockets are discharged",What is the garden east of?
116,bedroom,"Answer: The hallway is north of the hallway. All the gun brigs,",What is the hallway south of?
117,bedroom,"Answer: The garden is east of the hallway.

Question: What is the",What is the garden west of?
118,hallway,"Answer: The hallway.

Question: What is south of the office?",What is north of the office?
119,office,"Answer: The office is east of the kitchen.

Question: What is the office",What is west of the hallway?
120,bedroom,"Answer: The bathroom is south of the bedroom.

Question: What is the bedroom",What is the bathroom north of?
121,kitchen,"Answer: The kitchen.

Question: What is the hallway south of?",What is the hallway north of?
122,office,"Answer: The town of New York.

Question: What is the name of the",What is east of the bathroom?
123,bathroom,"Answer: The bathroom.

Question: What is north of the office?",What is north of the hallway?
124,bathroom,"Answer: The bedroom.

Question: What is the hallway?

Answer",What is the bedroom north of?
125,kitchen,"Answer: The kitchen.

Question: What is the name of the tugboat?",What is west of the garden?
126,bathroom,"[Illustration]

[Illustration]

[Illustration]",What is north of the kitchen?
127,hallway,"Answer: The west of the bedroom.

Question: What is the Waltz Position",What is the bedroom east of?
128,garden,"Answer: The kitchen.

Question: What is the north of the bedroom?",What is the bedroom south of?
129,hallway,"Answer: The garden gate.

Question: What is west of the bathroom?",What is east of the bathroom?
130,garden,"<context>

Answer: The verandah.

</context>",What is the bedroom east of?
131,kitchen,"Answer: The bathroom.

Question: What is north of the bathroom?",What is south of the bathroom?
132,kitchen,"Answer: The garden is east of the house.

Question: What is the house",What is east of the garden?
133,bathroom,"Answer: The bathroom.

Question: What is the hallway west of?",What is the hallway east of?
134,office,"Answer: The hallway is west of the bedroom.

Question: What is the",What is the hallway east of?
