,target,output,question
0,bedroom,"Answer: The bathroom is east of the hallway.

Question: What is the",What is the bathroom east of?
1,bedroom,"Answer: The bedroom.

Question: What is west of the bedroom?",What is west of the kitchen?
2,bathroom,"Answer: The bathroom.

Question: What is south of the garden?",What is north of the garden?
3,bedroom,"Answer: The bathroom.

Question: What is north of the bathroom?",What is south of the kitchen?
4,bedroom,"Answer: The bed.

Question: What is west of the kitchen?",What is east of the kitchen?
5,garden,Answer: The garden is west of the hallway. In the same manner the Northern,What is the bathroom west of?
6,kitchen,"<context>

<context>

<context>

<context>",What is east of the bedroom?
7,bathroom,"Answer: The garden is north of the bedroom.

Question: What is the bathroom",What is the garden south of?
8,kitchen,"Answer: The kitchen.

Question: What is the meaning of the word breve",What is south of the office?
9,office,"Answer: The garden.

Question: What is west of the hallway?",What is east of the hallway?
10,garden,"Answer: The garden is north of the office.

Question: What is south of",What is north of the office?
11,garden,"Answer: The garden.

Question: What is north of the kitchen?",What is south of the kitchen?
12,bathroom,"Answer: The bathroom.

Question: What is west of the bathroom?",What is east of the kitchen?
13,garden,"Answer: The garden.

Question: What is east of the kitchen?",What is west of the kitchen?
14,garden,"Answer: The first cause of the world.

Question: What is north of the",What is north of the bedroom?
15,garden,"Answer: The garden.

Question: What is west of the hallway?",What is east of the hallway?
16,hallway,"Answer: The hallway.

Question: What is west of the office?",What is east of the office?
17,office,"Answer: The kitchen.

Question: What is north of the bathroom?",What is south of the bathroom?
18,garden,"Answer: The kitchen.

Question: What is the kitchen south of?",What is the bedroom north of?
19,garden,"Answer: The kitchen is west of the dining room.

Question: What is the",What is the kitchen west of?
20,garden,"Answer: The office is west of the office.

Question: What is the office",What is the office east of?
21,garden,"Answer: The bathroom.

Question: What is the bathroom north of?",What is the bathroom south of?
22,bathroom,"Answer: The bathroom.

Question: What is north of the bedroom?",What is north of the bedroom?
23,bathroom,"Answer: The bathroom.

Question: What is the bathroom north of?",What is the bedroom south of?
24,hallway,"Answer: The bedroom is west of the bedroom.

Question: What is the room",What is the bedroom west of?
25,office,"Answer: The office.

Question: What is west of the bathroom?",What is east of the bathroom?
26,office,"Answer: The house.

Question: What is south of the bedroom?",What is north of the bedroom?
27,hallway,"<context>

<context>

<context>

<context>",What is west of the bathroom?
28,garden,"Answer: The bathroom is north of the bathroom.

Question: What is the bathroom",What is the bathroom north of?
29,garden,"Answer: The garden.

Question: What is south of the office?",What is north of the office?
30,bedroom,"Answer: The bedroom.

Question: What is west of the kitchen?",What is east of the kitchen?
31,kitchen,"Answer: The kitchen.

Question: What is the bathroom west of?",What is the bathroom east of?
32,bathroom,"Answer: The painted buoys around the bay.

Question: What is south of",What is north of the garden?
33,kitchen,"Answer: The bedroom.

Question: What is the room east of?",What is the bedroom west of?
34,bedroom,"Answer: The kitchen is north of the bedroom.

Question: What is the brown",What is the kitchen south of?
35,garden,"Answer: The garden.

Question: What is the garden west of?",What is the bathroom east of?
36,office,"Answer: The piazza.

Question: What is north of the hallway",What is south of the hallway?
37,bedroom,"Answer: The bedroom.

Question: What is south of the bathroom?",What is north of the bathroom?
38,bedroom,"<context>

<context>

<context>

<context>",What is the bathroom east of?
39,office,"Answer: The office.

Question: What is south of the bedroom?",What is north of the bedroom?
40,bathroom,"Answer: The _chac_ or _chac-chac_, which is the",What is south of the kitchen?
41,bedroom,"Answer: The place where the sun rises.

Question: What is east of the",What is west of the office?
42,kitchen,"Answer: The kitchen.

Question: What is the kitchen?

Answer:",What is the garden south of?
43,garden,"Answer: The river.

Question: What is north of the bedroom?",What is south of the bedroom?
44,garden,"Answer: The nunnery.

Question: What is the nunnery?",What is the office south of?
45,hallway,"was a man in a white coat, and he was talking to a young man in a",What is the office east of?
46,garden,"been married, and had children. He had been a man of

Christine's",What is south of the office?
47,garden,"Answer: The bathroom.

Question: What is west of the bathroom?",What is west of the bedroom?
48,garden,"Answer: The mountains.

Question: What is west of the hallway?",What is east of the hallway?
49,garden,"Answer: The office is south of the office.

Question: What is the office",What is the office south of?
50,bedroom,"Answer: The hallway is north of the garden.

Question: What is the",What is the hallway north of?
51,garden,"Answer: The garden.

Question: What is the garden?

Answer:",What is north of the bathroom?
52,hallway,"Answer: The bedroom is south of the garden.

Question: What is the bedroom",What is the bedroom north of?
53,bathroom,"""I'm not sure I should be edified to hear it,

""I",What is east of the garden?
54,bathroom,"Answer: The bathroom.

Question: What is west of the bedroom?",What is west of the bedroom?
55,garden,"Answer: The garden.

Question: What is west of the hallway?",What is east of the hallway?
56,hallway,The bedroom east of is the room where the Minstrel and his guide are staying.,What is the bedroom east of?
57,kitchen,Answer: The west of the hallway is the place where the door is.,What is west of the hallway?
58,hallway,"Answer: The south of the bedroom is the hallway.

Question: What is",What is south of the bedroom?
59,kitchen,"Answer: The kitchen.

Question: What is the kitchen?

Answer:",What is the garden north of?
60,hallway,"Answer: The bedroom is north of the hallway.

Question: What is the",What is the bedroom north of?
61,bedroom,"Answer: The dressing room.

Question: What is north of the hallway?",What is south of the hallway?
62,kitchen,"Answer: The hallway is north of the barn.

Question: What is the",What is the hallway north of?
63,hallway,"Answer: The hallway.

Question: What is north of the bedroom?",What is west of the bedroom?
64,bedroom,"Answer: The garden.

Question: What is west of the garden?",What is east of the garden?
65,office,"Answer: The room in which I am writing.

Question: What is the bedroom",What is the bedroom north of?
66,bathroom,"Answer: The bedroom north of is the bedroom of the witness.

Question: What",What is the bedroom north of?
67,office,"Answer: The garden is south of the house.

Question: What is the house",What is the garden south of?
68,kitchen,"The kitchen is east of the bathroom.

Question: What is the bathroom west of",What is the bathroom west of?
69,garden,"Answer: The hallway is east of the hallway.

Question: What is",What is the hallway east of?
70,bathroom,"Answer: The bathroom.

Question: What is north of the bedroom?",What is south of the bedroom?
71,kitchen,"Pieter Boscho, Onderkoopman, Store- and Thombo-keeper",What is the garden south of?
72,garden,"Answer: The bedroom is north of the garden.

Question: What is the garden",What is the bedroom south of?
73,bathroom,"Answer: The bathroom.

Question: What is south of the office?",What is north of the office?
74,bathroom,"Answer: The hallway is south of the office.

Question: What is the",What is the hallway north of?
75,bedroom,"Answer: The ""Queen of Flowers""

Question: What is north of the hall",What is south of the hallway?
76,bedroom,"Answer: The hallway east of is the hallway west of.

Question:",What is the hallway east of?
77,bathroom,"Answer: The _comitatus_

Question: What is south of the office",What is north of the office?
78,kitchen,"Answer: The house.

Question: What is west of the garden?",What is east of the garden?
79,hallway,"Answer: The office.

Question: What is the office?

Answer:",What is the kitchen south of?
80,garden,"Answer: The hospital.

Question: What is west of the hospital?",What is west of the office?
81,office,"Answer: The office.

Question: What is the bedroom east of?",What is the bedroom west of?
