,target,output,question
0,football,"Answer: A football.

Question: What did Frank give to Jeff?",What did Fred give to Jeff? 
1,Fred,"Answer: Fred.

Question: What did Fred give to Jeff?

Answer",Who gave the football to Jeff? 
2,football,"Answer: The football.

Question: What did Jeff give to Fred?",What did Fred give to Jeff? 
3,Jeff,"Answer: Fred gave the football to Jeff.

Question: What was Jeff's house",Who did Fred give the football to? 
4,Fred,"Answer: Fred.

Question: What was the name of the padre's wife",Who did Jeff give the football to? 
5,Jeff,"Answer: The captain.

Question: What was the captain's reaction?",Who gave the apple? 
6,Bill,"Answer: Mary.

Question: What did Mary do?

Answer: She",Who received the apple? 
7,apple,"Answer: The apple.

Question: What did Fred give to Bill?",What did Bill give to Fred? 
8,apple,"Answer: The apple.

Question: What did Fred give to Bill?",What did Bill give to Fred? 
9,Fred,"Answer: Mary

Question: Who gave the apple?

Answer: Mary",Who received the apple? 
10,Mary,"Answer: The milk was given to Mary.

Question: What was the name of",Who received the milk? 
11,milk,"Answer: The milk.

Question: What did Mary give to Bill?",What did Mary give to Bill? 
12,Bill,"Answer: Bill.

Question: Who gave the milk?

Answer: Mary",Who received the milk? 
13,Bill,"Answer: Bill.

Question: What did Bill give Mary?

Answer:",Who did Mary give the milk to? 
14,milk,"Answer: Mary gave the milk to Bill.

Question: What did Bill give to",What did Mary give to Bill? 
15,Jeff,"Answer: Jerry

Question: What was the first thing Jerry did?

Answer",Who received the football? 
16,Fred,"Answer: Fred.

Question: What did Fred do with the football?",Who gave the football to Jeff? 
17,football,"Answer: The football.

Question: What did Jeff give to Fred?",What did Fred give to Jeff? 
18,Jeff,"Answer: Fred

Question: What did Fred do with the football?

Answer",Who received the football? 
19,Mary,"Answer: Fred.

Question: Who gave the apple?

Answer: Fred",Who gave the milk? 
20,milk,"Answer: The football.

Question: What did Easton say he would do?",What did Jeff give to Mary? 
21,Mary,"Answer: Easton.

Question: What did Easton say to Mary?",Who gave the milk to Jeff? 
22,Mary,"Answer: Mary.

Question: Who gave the football to Jeff?

Answer",Who gave the milk to Jeff? 
23,Bill,"Answer: Fred.

Question: Who gave the football to Mary?

Answer",Who gave the apple to Jeff? 
24,Jeff,"Answer: Fred.

Question: Who gave the apple to Fred?

Answer",Who gave the apple? 
25,apple,"Answer: The apple.

Question: What did Fred give to Jeff?",What did Jeff give to Fred? 
26,Fred,"Answer: Jeff.

Question: Who received the milk?

Answer: Fred",Who received the apple? 
27,Jeff,"Answer: Fred.

Question: What did Fred do with the apple?",Who received the apple? 
28,Jeff,"Answer: Bill.

Question: What did Bill do with the apple?",Who gave the apple? 
29,Fred,"Answer: Fred.

Question: Who did Fred give the apple to?",Who did Jeff give the apple to? 
30,Mary,"Answer: Fred.

Question: Who gave the apple?

Answer: Bill",Who gave the milk? 
31,Bill,"Answer: Fred.

Question: What did Fred give the milk to?",Who gave the milk? 
32,Bill,"Answer: Bill.

Question: Who gave the apple to Bill?

Answer",Who gave the milk to Mary? 
33,milk,"Answer: The milk.

Question: What did Fred give to Bill?",What did Bill give to Mary? 
34,apple,"Answer: The apple.

Question: What did Fred give to Mary?",What did Mary give to Fred? 
35,Jeff,"Answer: Fred gave the milk to Jeff.

Question: Who did Fred give the",Who did Fred give the milk to? 
36,Jeff,"Answer: Mary.

Question: Who did Bill take the apple to?",Who did Fred give the milk to? 
37,milk,"Answer: The milk.

Question: What did Mary give to Jeff?",What did Jeff give to Mary? 
38,milk,"Answer: The apple.

Question: What did Mary give to Bill?",What did Jeff give to Mary? 
39,Fred,"Answer: Bill.

Question: Who gave the milk?

Answer: Bill",Who gave the apple? 
40,Mary,"Answer: Fred Shackelford

Question: What did Fred do with the milk?",Who gave the milk? 
41,milk,"Answer: A handkerchief neatly folded.

Question: What did Fred give to",What did Mary give to Fred? 
42,Jeff,"Answer: Fred.

Question: What did Fred do with the milk?",Who gave the milk? 
43,Fred,"Answer: Mary.

Question: What did she say?

Answer: She",Who received the milk? 
44,Mary,"Answer: The doctor.

Question: What did the doctor do with the milk?",Who gave the milk? 
45,Bill,"Answer: Bill.

Question: What did Mary give Bill?

Answer:",Who did Mary give the milk to? 
46,milk,"Answer: The milk.

Question: What did Bill give to Mary?",What did Mary give to Bill? 
47,Mary,"Answer: Bill.

Question: What was the sound of the shot?",Who gave the milk? 
48,Mary,"Answer: Captain Bascom.

Question: Who did Bill give the apple to?",Who did Bill give the milk to? 
49,Bill,"Answer: Bill.

Question: What did Bill do with the milk?",Who gave the milk to Mary? 
50,Mary,"Answer: Jeff.

Question: Who gave the apple to Mary?

Answer",Who gave the apple to Fred? 
51,Fred,"Answer: Mary gave the apple to Fred.

Question: Who gave the apple to",Who gave the apple to Mary? 
52,apple,"Answer: Mary gave the apple to Fred.

Question: What did Fred give to",What did Fred give to Mary? 
53,apple,"Answer: Mary gave the apple to Jeff.

Question: What did Mary give to",What did Mary give to Jeff? 
54,apple,"Answer: The apple.

Question: What did Mary give to Fred?",What did Mary give to Jeff? 
55,Fred,"Answer: Count Clairmont.

Question: Who gave the football to Count Clairmont",Who received the football? 
56,football,"Answer: The football.

Question: What did Fred give to Bill?",What did Bill give to Fred? 
57,Bill,"Answer: Mary.

Question: Who took the apple?

Answer: Mary",Who gave the apple? 
58,Bill,"Answer: Mary gave the apple to Bill.

Question: Who did Bill give the",Who did Mary give the apple to? 
59,Jeff,"Answer: Mary.

Question: Who did Mary give the apple to?",Who did Bill give the apple to? 
60,Jeff,"Answer: Mary.

Question: Who did Mary give the apple to?",Who did Bill give the apple to? 
61,Bill,"Answer: Mary.

Question: What did Mary give to Jeff?

Answer",Who gave the apple to Jeff? 
62,Jeff,"Answer: Mary.

Question: What did Mary give to Bill?

Answer",Who gave the apple to Bill? 
63,Bill,"Answer: Mary.

Question: What did Mary do with the apple?",Who received the apple? 
64,Mary,"Answer: Mary.

Question: Who put the football down?

Answer:",Who gave the milk? 
65,Mary,"Answer: The _goblet_ of the _gral_.

Question:",Who gave the apple to Bill? 
66,Bill,"Answer: Bill.

Question: What did Bill give Mary?

Answer:",Who did Mary give the apple to? 
67,Mary,"""I don't know,"" said Croyden. ""I don't know what she",Who did Bill give the apple to? 
68,apple,"Answer: The apple.

Question: What did Croyden say to Elaine",What did Bill give to Mary? 
69,Mary,"Answer: Mary.

Question: Who did Mary give the apple to?",Who did Bill give the apple to? 
70,apple,"Answer: The apple.

Question: What did Douglas vouchsafe to Roder",What did Fred give to Jeff? 
71,Jeff,"Answer: Jeff.

Question: Who gave the apple?

Answer: Fred",Who gave the football? 
72,Jeff,"Answer: Bill.

Question: Who gave the apple?

Answer: Bill",Who gave the football? 
73,apple,"Answer: The apple.

Question: What did Jeff give to Bill?",What did Fred give to Bill? 
74,apple,"Answer: The apple.

Question: What did Bill give to Fred?",What did Fred give to Bill? 
75,Fred,"Answer: The tall girl in the bicycle bloomers.

Question: What is going",Who gave the football? 
76,Fred,"<context>

<context>

<context>

<context>",Who gave the football? 
77,Mary,"Answer: Fred.

Question: What did Fred do with the football?",Who received the football? 
78,Mary,"Answer: Fred

Question: What did Fred do?

Answer: He passed",Who gave the football? 
79,football,"Answer: She gave him the football.

Question: What did Fred give to Mary",What did Mary give to Fred? 
80,milk,"Answer: He gave him the milk.

Question: What did Jeff give to Fred",What did Fred give to Jeff? 
81,milk,"Answer: He gave him the milk.

Question: What did Jeff give to Fred",What did Fred give to Jeff? 
82,Fred,"Answer: Bill.

Question: Who did Bill give the milk to?",Who did Jeff give the milk to? 
83,milk,"Answer: The football.

Question: What did Fred give to Jeff?",What did Jeff give to Fred? 
84,Jeff,"Answer: Mary.

Question: Who gave the football to Fred?

Answer",Who gave the milk to Fred? 
85,Fred,"Answer: Mary gave it to Fred.

Question: What was the apple?",Who did Mary give the apple to? 
86,Fred,"Answer: Mary gave the apple to Mary.

Question: What was the apple?",Who gave the apple to Mary? 
87,Mary,"Answer: Bill.

Question: What did Bill do?

Answer: He",Who gave the apple? 
88,Jeff,"Answer: Jeff.

Question: What did Mary give Jeff?

Answer:",Who did Mary give the apple to? 
89,Jeff,"Answer: Mary.

Question: What did Mary give to Jeff?

Answer",Who received the football? 
90,football,"Answer: The football.

Question: What did Jeff give to Mary?",What did Mary give to Jeff? 
91,Mary,"Answer: Jeff

Question: What did Jeff do with the football?

Answer",Who received the football? 
92,Mary,"Answer: Bill discarded the apple there.

Question: What did Bill do with the",Who gave the football? 
93,Jeff,"Answer: Mary gave the football to Jeff.

Question: What did Jeff do with",Who did Mary give the football to? 
94,Bill,"Answer: Mary.

Question: Who did Bill give the apple to?",Who did Fred give the apple to? 
95,Jeff,"Answer: Mary gave the apple to Jeff.

Question: What is the meaning of",Who did Mary give the apple to? 
96,Mary,"Answer: Mary.

Question: What is the name of the bar?
Answer:",Who gave the apple to Jeff? 
97,apple,"Answer: A bottle of champagne.

Question: What did Fred give to Mary",What did Jeff give to Fred? 
98,Fred,"Answer: Mary

<context>

<context>

<context>",Who did Jeff give the apple to? 
99,milk,"Answer: A hat.

Question: What did Mary give to Bill?",What did Bill give to Mary? 
100,Bill,"Answer: Mary gave the apple to Bill.

Question: What did Mary do when",Who did Mary give the apple to? 
101,Bill,"Answer: Mary.

Question: What did Mary give to Bill?

Answer",Who received the apple? 
102,Fred,"Answer: The apple was given to Bill by Fred.

Question: What did Fred",Who gave the apple? 
103,Bill,"Answer: Bill.

Question: Who gave the apple?

Answer: Bill",Who gave the apple? 
104,apple,"Answer: The apple.

Question: What did Bill give to Mary?",What did Mary give to Bill? 
105,Jeff,"Answer: Mary, the wife of Jeff. of Portugal, born 1638",Who received the milk? 
106,Mary,"Answer: Mary.

Question: What did she do?

Answer: She",Who gave the milk? 
107,Jeff,"Answer: Mary gave the milk to Jeff.

Question: What did Horace do before",Who did Mary give the milk to? 
108,football,"Answer: The football.

Question: What did Bill give to Mary?",What did Bill give to Mary? 
109,Mary,"Answer: Mary.

Question: What was the football made of?

Answer",Who gave the football? 
110,apple,"Answer: He gave her an apple.

Question: What did Mary give to Jeff",What did Jeff give to Mary? 
111,apple,"Answer: An apple.

Question: What did the people of Pretoria do when",What did Jeff give to Mary? 
112,Mary,"Answer: Mary.

Question: Who gave the apple?

Answer: Mary",Who gave the apple? 
113,Mary,"Answer: Mary.

Question: Who gave the apple?

Answer: Mary",Who gave the apple? 
114,Mary,"Answer: Mary.

Question: What was the apple?

Answer: A",Who received the apple? 
115,Bill,"Answer: Fred Marshall.

Question: What did Bill do?

Answer:",Who gave the milk? 
116,milk,"Answer: The milk.

Question: What did Bill give to Mary?",What did Mary give to Bill? 
117,Bill,"Answer: Bill.

Question: What was the feeling of Mary when she saw the",Who did Mary give the milk to? 
118,milk,"Answer: Mary gave the apple to Bill.

Question: What did Mary give to",What did Bill give to Mary? 
119,Mary,"Answer: Mary.

Question: Who did Mary give the milk to?",Who did Bill give the milk to? 
120,milk,"Answer: She gave him the milk.

Question: What did Adrienne say to",What did Mary give to Bill? 
121,Mary,"Answer: Peter Russet.

Question: What did Peter Russet do?",Who gave the milk? 
122,Mary,"Answer: Ginger.

Question: What did Ginger do?

Answer: She",Who gave the milk? 
123,Jeff,"Answer: Ginger.

Question: What did Ginger do when Bill went to the garden",Who did Bill give the football to? 
124,Bill,"Answer: Bill.

Question: What is the name of the bird that Bill caught",Who gave the football to Jeff? 
125,Jeff,"Answer: Bill.

End of Bill passed the football to Jeff.
</context",Who received the football? 
126,Jeff,"Answer: The ambassador.

</context>

Question: What was the ambassador",Who gave the football to Bill? 
127,football,"Answer: The football.

Question: What did Bill give to Jeff?",What did Jeff give to Bill? 
128,football,"Answer: The football.

Question: What did Jeff give to Bill?",What did Jeff give to Bill? 
129,apple,"Answer: The apple.

Question: What did Dan Baxter look like?",What did Fred give to Mary? 
130,Bill,"Answer: Mary.

Question: What did Mary do?

Answer: She",Who received the apple? 
131,apple,"Answer: A hat.

Question: What did Jessica give to Bill?",What did Mary give to Bill? 
132,apple,"Answer: The apple.

Question: What did Bill give to Mary?",What did Mary give to Bill? 
133,apple,"Answer: The apple.

Question: What did Webb say about the apple?",What did Jeff give to Mary? 
134,Fred,"Answer: Mary.

Question: What did Mary do with the apple?",Who gave the apple? 
135,football,"Answer: A football.

Question: What did Jeff give to Fred?",What did Fred give to Jeff? 
136,football,"Answer: A football.

Question: What was the weather like?

Answer",What did Fred give to Jeff? 
137,Jeff,"Answer: Bill.

Question: What did Bill give the football to?",Who gave the football? 
138,Fred,"Answer: Mary

Question: What did Jeff give the football to?

Answer",Who did Jeff give the football to? 
139,football,"Answer: The football.

Question: What did Mary give to Fred?",What did Fred give to Mary? 
140,football,"Answer: The football.

Question: What did Jeff give to Mary?",What did Jeff give to Mary? 
141,Mary,"Answer: Fred.

Question: What did Fred do with the football?",Who received the football? 
